repo,entropy_norm,active_window_rate,archetype,total_commits_all,unique_contributors_for_metrics,gini,code_top3_share,reactive_rate,doc_touch_total,health_docs_touch_bus50,health_docs_touch_bus80,health_docs_touch_top3_share,health_docs_touch_contributors,log_contributors,log_total_commits,log_bus50,excess_top3
jenkins,0.8082319631819973,0.5245901639344263,Occasional,6105,173,0.8520398466345507,0.5124945199473915,0.8644,59,3,10,0.508475,19,5.159055299214529,8.717027173294824,1.3862943611198906,-0.00401951994739147
node,0.962780697231144,1.0,Consistent,13555,991,0.857482146630651,0.2301922579532718,1.0,988,6,44,0.36278,177,6.899723107284872,9.514584532726943,1.9459101490553132,0.13258774204672819
kubernetes,0.6703075505865258,0.2786885245901639,Occasional,23233,2019,0.7930816898104331,0.1022757578451417,0.1429,21,9,15,0.238095,19,7.61085279039525,10.05337200207342,2.302585092994046,0.1358192421548583
qmk_firmware,0.7600122078091428,0.3934426229508196,Occasional,10609,1109,0.7787436319634786,0.4030182684670373,0.3488,43,1,3,0.904762,7,7.01211529430638,9.26955223160803,0.6931471805599453,0.5017437315329627
darknet,0.4748013448513826,0.1475409836065573,Sparse,16,1,0.0,1.0,0.0,15,1,1,1.0,1,0.6931471805599453,2.833213344056216,0.6931471805599453,0.0
HanLP,0.7242534624510166,0.4262295081967213,Occasional,466,9,0.8663306935445163,0.9848812095032398,0.0227,44,1,1,1.0,2,2.302585092994046,6.1463292576688975,0.6931471805599453,0.015118790496760237
electron,0.8304395001888613,0.5409836065573771,Occasional,5713,307,0.8885495061288586,0.4058361942128494,1.0,44,4,13,0.431818,21,5.730099782973574,8.65067458279072,1.6094379124341003,0.02598180578715059
openssl,0.7836509650303464,0.4590163934426229,Occasional,11026,689,0.8888163608030115,0.3068631966835559,0.9804,51,6,19,0.36,29,6.536691597591305,9.308102089758679,1.9459101490553132,0.0531368033164441
vscode,0.7114677386865149,0.3442622950819672,Occasional,59032,1325,0.9503503301029028,0.2232117061232814,0.5,34,8,19,0.235294,25,7.189922170745808,10.985851888559488,2.1972245773362196,0.012082293876718608
echarts,0.6202330303063626,0.2622950819672131,Sparse,2683,154,0.8900219673415548,0.6277205040091638,0.2667,30,2,4,0.785714,9,5.043425116919247,7.895063498091573,1.0986122886681098,0.15799349599083623
reveal.js,0.593864642523777,0.2295081967213114,Sparse,411,50,0.8242786069651742,0.7835820895522388,0.125,24,1,1,1.0,1,3.9318256327243257,6.021023349349527,0.6931471805599453,0.21641791044776115
AspNetCore.Docs,0.696989337819305,0.3114754098360656,Occasional,7415,521,0.7802986804906191,0.3757122507122507,0.76,25,4,10,0.478261,14,6.257667587882639,8.91139510724569,1.6094379124341003,0.10254874928774932
django,0.9231480685272992,0.8524590163934426,Consistent,5132,870,0.760636081781213,0.327106960195686,0.8721,172,77,128,0.046784,162,6.769641976852503,8.543445562560303,4.356708826689592,-0.28032296019568603
shadowsocks-windows,0.2529196480342516,0.0491803278688524,Sparse,78,10,0.6794871794871793,0.8717948717948718,0.0,4,1,2,1.0,2,2.3978952727983707,4.3694478524670215,0.6931471805599453,0.1282051282051282
react,0.7677425728022537,0.4754098360655737,Occasional,7207,323,0.9004495037210434,0.3971883468834688,0.7164,67,7,27,0.348485,40,5.780743515792329,8.882946799288174,2.0794415416798357,-0.048703346883468834
axios,0.8074911673397316,0.7049180327868853,Consistent,716,172,0.6539912005028283,0.6138996138996139,0.7788,226,5,51,0.471338,82,5.153291594497779,6.57507584059962,1.791759469228055,-0.14256161389961391
elasticsearch,0.8915496583597049,0.7213114754098361,Consistent,33215,595,0.8772044107399057,0.1912195121951219,0.8427,89,8,30,0.292135,47,6.39024066706535,10.41078696652556,2.1972245773362196,0.10091548780487808
protobuf,0.6870475799638535,0.3114754098360656,Occasional,11034,551,0.8738903445880899,0.3503145619149915,0.2432,37,4,13,0.4375,19,6.313548046277095,9.308827318690836,1.6094379124341003,0.0871854380850085
zxing,0.5952873742016478,0.2131147540983606,Sparse,283,25,0.7834482758620689,0.8045977011494253,0.5556,18,2,5,0.722222,8,3.258096538021482,5.648974238161206,1.0986122886681098,-0.08237570114942527
godot,0.8742944353630595,0.7213114754098361,Consistent,24073,1796,0.8487240448795383,0.2025728377485127,0.0864,81,1,6,0.728395,22,7.493873886783559,10.088887698939681,0.6931471805599453,0.5258221622514874
spark,0.7148989017830899,0.3770491803278688,Occasional,17199,1033,0.8616415973797071,0.2012864392777056,1.0,37,3,7,0.594595,14,6.9411900550683745,9.752664662801545,1.3862943611198906,0.39330856072229436
laravel,0.950281470791576,0.9672131147540984,Consistent,747,142,0.7061737513689734,0.5316455696202531,0.0652,184,2,3,0.872928,17,4.962844630259907,6.617402977974478,1.0986122886681098,0.3412824303797469
