repo,n_newcomers,rate_2plus_months,rate_3plus_months,rate_5plus_commits,rate_10plus_commits,rate_90plus_days_span,rate_180plus_days_span,unique_contributors_for_metrics,entropy_norm,active_window_rate,log_contributors
react-router,531,0.1167608286252354,0.047080979284369114,0.04331450094161959,0.02448210922787194,0.08662900188323917,0.07156308851224105,380,0.894745948419439,0.8360655737704918,5.942799375126701
redis,423,0.3120567375886525,0.16784869976359337,0.13002364066193853,0.07801418439716312,0.22458628841607564,0.1938534278959811,335,0.6867997988061347,0.4590163934426229,5.817111159963204
reveal.js,55,0.03636363636363636,0.01818181818181818,0.09090909090909091,0.01818181818181818,0.03636363636363636,0.01818181818181818,50,0.593864642523777,0.2295081967213114,3.9318256327243257
rust,3677,0.41120478651074244,0.2436769105248844,0.30187652977971174,0.18275768289366331,0.30187652977971174,0.257002991569214,3638,0.9753631056026502,1.0,8.19946419761216
scrapy,232,0.17672413793103448,0.07327586206896551,0.1206896551724138,0.05603448275862069,0.09482758620689655,0.07758620689655173,165,0.7107246215028619,0.4098360655737705,5.111987788356544
shadowsocks-android,8,0.25,0.125,0.375,0.25,0.25,0.25,8,0.459551722133398,0.1147540983606557,2.1972245773362196
shadowsocks-windows,7,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,10,0.2529196480342516,0.0491803278688524,2.3978952727983707
socket.io,134,0.06716417910447761,0.007462686567164179,0.014925373134328358,0.0,0.03731343283582089,0.029850746268656716,104,0.832709763456306,0.7213114754098361,4.653960350157523
spark,930,0.4376344086021505,0.2752688172043011,0.24086021505376345,0.14623655913978495,0.3365591397849462,0.27419354838709675,1033,0.7148989017830899,0.3770491803278688,6.9411900550683745
spring-boot,591,0.17258883248730963,0.09475465313028765,0.08798646362098139,0.043993231810490696,0.12351945854483926,0.10490693739424704,575,0.7307287652409399,0.4098360655737705,6.3561076606958915
spring-framework,583,0.18867924528301888,0.07718696397941681,0.06689536878216124,0.0411663807890223,0.14065180102915953,0.10634648370497427,556,0.7034303892605933,0.3278688524590163,6.322565239927284
symfony,1462,0.2448700410396717,0.09575923392612859,0.0533515731874145,0.02051983584131327,0.19493844049247605,0.16757865937072502,1599,0.9228714908654256,0.9836065573770492,7.3777589082278725
terraform,511,0.21526418786692758,0.11154598825831702,0.11741682974559686,0.07436399217221135,0.15264187866927592,0.1232876712328767,377,0.9190458265163766,0.918032786885246,5.934894195619588
three.js,736,0.22418478260869565,0.10733695652173914,0.11684782608695653,0.05434782608695652,0.16576086956521738,0.1331521739130435,599,0.7815263323291296,0.4754098360655737,6.396929655216146
todomvc,9,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,8,0.1548367060935873,0.0327868852459016,2.1972245773362196
vscode,1213,0.27122835943940643,0.16240725474031328,0.1508656224237428,0.08161582852431987,0.20527617477328935,0.16817807089859851,1325,0.7114677386865149,0.3442622950819672,7.189922170745808
youtube-dl,128,0.1015625,0.0390625,0.0390625,0.0234375,0.0546875,0.0546875,100,0.5631586708702783,0.2786885245901639,4.61512051684126
zxing,30,0.23333333333333334,0.1,0.03333333333333333,0.03333333333333333,0.1,0.1,25,0.5952873742016478,0.2131147540983606,3.258096538021482
