repo,since,until,dominant_threshold,bots_included_in_attr,merges_included,total_commits_in_range,health_docs_touch_commits,health_docs_touch_contributors,health_docs_touch_top1_share,health_docs_touch_top3_share,health_docs_touch_top5_share,health_docs_touch_top10_share,health_docs_touch_bus50,health_docs_touch_bus80,health_docs_only_commits,health_docs_only_contributors,health_docs_only_top1_share,health_docs_only_top3_share,health_docs_only_top5_share,health_docs_only_top10_share,health_docs_only_bus50,health_docs_only_bus80,health_docs_dominant_commits,health_docs_dominant_contributors,health_docs_dominant_top1_share,health_docs_dominant_top3_share,health_docs_dominant_top5_share,health_docs_dominant_top10_share,health_docs_dominant_bus50,health_docs_dominant_bus80,health_docs_non_dominant_commits,health_docs_non_dominant_contributors,health_docs_non_dominant_top1_share,health_docs_non_dominant_top3_share,health_docs_non_dominant_top5_share,health_docs_non_dominant_top10_share,health_docs_non_dominant_bus50,health_docs_non_dominant_bus80,health_docs_partition_check,health_docs_partition_touch,health_docs_partition_sum_parts
protobuf,2016-05-30,2026-05-29,0.500,no,no,16526,78,30,0.236111,0.513889,0.583333,0.722222,3,16,53,25,0.212766,0.446809,0.553191,0.680851,4,16,4,3,0.500000,1.000000,1.000000,1.000000,1,3,21,11,0.380952,0.619048,0.714286,0.952381,2,7,True,78,78
zxing,2016-05-30,2026-05-29,0.500,no,no,654,46,21,0.413043,0.543478,0.652174,0.760870,3,12,41,21,0.365854,0.512195,0.609756,0.731707,3,13,4,1,1.000000,1.000000,1.000000,1.000000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,46,46
godot,2016-05-30,2026-05-29,0.500,no,no,42598,189,41,0.645503,0.756614,0.788360,0.835979,1,7,112,37,0.455357,0.633929,0.687500,0.758929,2,15,42,7,0.857143,0.904762,0.952381,1.000000,1,1,35,1,1.000000,1.000000,1.000000,1.000000,1,1,True,189,189
spark,2016-05-30,2026-05-29,0.500,no,no,31924,101,37,0.207921,0.455446,0.564356,0.722772,4,17,59,19,0.237288,0.593220,0.711864,0.847458,3,8,12,10,0.250000,0.416667,0.583333,1.000000,4,8,30,18,0.200000,0.433333,0.566667,0.733333,4,12,True,101,101
laravel,2016-05-30,2026-05-29,0.500,no,no,1811,320,48,0.221875,0.590625,0.778125,0.871875,3,6,317,48,0.223975,0.589905,0.779180,0.873817,3,6,3,2,0.666667,1.000000,1.000000,1.000000,1,2,0,0,,,,,,,True,320,320
gitignore,2016-05-30,2026-05-29,0.500,no,no,1225,28,18,0.250000,0.464286,0.535714,0.714286,4,13,26,16,0.269231,0.500000,0.576923,0.769231,3,11,1,1,1.000000,1.000000,1.000000,1.000000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,28,28
pandas,2016-05-30,2026-05-29,0.500,no,no,24259,126,80,0.056000,0.160000,0.240000,0.376000,18,55,108,75,0.065421,0.168224,0.242991,0.364486,22,54,10,9,0.200000,0.400000,0.600000,1.000000,4,7,8,7,0.250000,0.500000,0.750000,1.000000,3,6,True,126,126
AdminLTE,2016-05-30,2026-05-29,0.500,no,no,1963,60,12,0.283333,0.750000,0.883333,0.966667,2,4,38,11,0.342105,0.710526,0.842105,0.973684,2,5,13,4,0.538462,0.923077,1.000000,1.000000,1,3,9,4,0.333333,0.888889,1.000000,1.000000,2,3,True,60,60
react-router,2016-05-30,2026-05-29,0.500,no,no,7492,1065,511,0.254673,0.316589,0.342290,0.383178,83,340,875,423,0.255043,0.309798,0.334294,0.377522,76,285,126,80,0.243697,0.336134,0.369748,0.411765,21,57,64,23,0.279070,0.488372,0.581395,0.697674,4,15,True,1065,1065
ant-design,2016-05-30,2026-05-29,0.500,no,no,23769,1540,114,0.336582,0.515270,0.630929,0.764782,3,13,875,91,0.357714,0.564571,0.665143,0.781714,3,12,626,49,0.304000,0.569600,0.680000,0.827200,3,9,39,16,0.384615,0.589744,0.692308,0.846154,2,9,True,1540,1540
rails,2016-05-30,2026-05-29,0.500,no,no,23874,135,68,0.362963,0.429630,0.474074,0.562963,7,41,108,54,0.388889,0.453704,0.509259,0.592593,5,33,10,10,0.100000,0.300000,0.500000,1.000000,5,8,17,11,0.352941,0.529412,0.647059,0.941176,3,8,True,135,135
spring-boot,2016-05-30,2026-05-29,0.500,no,no,34307,143,39,0.146853,0.370629,0.517483,0.741259,5,14,111,38,0.171171,0.423423,0.531532,0.720721,5,16,20,12,0.200000,0.450000,0.650000,0.900000,4,8,12,8,0.333333,0.583333,0.750000,1.000000,2,6,True,143,143
