repo,category,n_commits,entropy_norm,awr,n_contributors
kubernetes,onboarding_process,18,0.6585630693704683,0.26229508196721313,16
kubernetes,governance_policy,2,0.1686130986895011,0.03278688524590164,2
kubernetes,change_tracking,2,0.1686130986895011,0.03278688524590164,2
kubernetes,legal_attribution,0,,,0
lantern,onboarding_process,32,0.3437169798450883,0.08196721311475409,4
lantern,governance_policy,0,,,0
lantern,change_tracking,0,,,0
lantern,legal_attribution,0,,,0
laravel,onboarding_process,23,0.6482974572280249,0.2786885245901639,13
laravel,governance_policy,0,,,0
laravel,change_tracking,164,0.9416355613174273,0.9344262295081968,9
laravel,legal_attribution,0,,,0
markdown-here,onboarding_process,7,0.31064788209524596,0.06557377049180328,2
markdown-here,governance_policy,0,,,0
markdown-here,change_tracking,0,,,0
markdown-here,legal_attribution,2,0.1686130986895011,0.03278688524590164,2
material-ui,onboarding_process,201,0.9316409574106306,0.9180327868852459,50
material-ui,governance_policy,15,0.5463441971067555,0.18032786885245902,5
material-ui,change_tracking,408,0.9762910668289891,1.0,33
material-ui,legal_attribution,3,0.15483670609358735,0.03278688524590164,2
metasploit-framework,onboarding_process,51,0.5357118392023945,0.26229508196721313,23
metasploit-framework,governance_policy,33,0.3281637034873434,0.14754098360655737,20
metasploit-framework,change_tracking,0,,,0
metasploit-framework,legal_attribution,53,0.5264126876725755,0.26229508196721313,24
minimal-mistakes,onboarding_process,36,0.6702265291747594,0.3114754098360656,10
minimal-mistakes,governance_policy,0,,,0
minimal-mistakes,change_tracking,181,0.7047055174777307,0.45901639344262296,3
minimal-mistakes,legal_attribution,1,0.0,0.01639344262295082,1
moby,onboarding_process,12,0.5763694528173403,0.18032786885245902,9
moby,governance_policy,33,0.7086377727774342,0.3442622950819672,13
moby,change_tracking,2,0.1686130986895011,0.03278688524590164,2
moby,legal_attribution,20,0.6717855627402319,0.2786885245901639,6
mybatis-3,onboarding_process,14,0.5215319835834986,0.16393442622950818,5
mybatis-3,governance_policy,0,,,0
mybatis-3,change_tracking,0,,,0
mybatis-3,legal_attribution,3,0.2672454385532547,0.04918032786885246,1
netty,onboarding_process,25,0.604916573996566,0.26229508196721313,11
netty,governance_policy,5,0.2311602278812153,0.04918032786885246,3
netty,change_tracking,0,,,0
netty,legal_attribution,10,0.3915074910131681,0.09836065573770492,4
nixpkgs,onboarding_process,160,0.8192601422976038,0.6885245901639344,76
nixpkgs,governance_policy,0,,,0
nixpkgs,change_tracking,0,,,0
