repo,n_issues_sampled,median_issue_close_hours,n_prs_sampled,median_pr_merge_hours,issues_total_closed,prs_total_merged,entropy_norm,active_window_rate,unique_contributors_for_metrics,log_contributors,log_issue_close,log_pr_merge
guava,100,112.14486111111113,100,0.3980555555555555,3046,1394,0.7621185979271853,0.4426229508196721,114,4.74493212836325,4.728668954442888,0.3350823823321586
minimal-mistakes,100,286.24305555555554,100,694.3620833333334,1323,547,0.7105378481524905,0.4754098360655737,55,4.02535169073515,5.660328740824987,6.544432693113585
redis,100,171.34263888888887,100,88.16180555555556,4777,4655,0.6867997988061347,0.4590163934426229,335,5.817111159963204,5.14948458180353,4.490452759047883
ardupilot,100,210.5263888888889,100,124.22041666666668,6027,16928,0.7051409591642314,0.3278688524590163,492,6.20050917404269,5.354349760863415,4.830075517788602
material-ui,100,2095.403611111111,100,21.435,19104,22040,0.9779650964968668,1.0,790,6.673297967767654,7.647978589456155,3.1106222394279466
mybatis-3,100,427.4326388888889,100,46.475,1258,1631,0.5479925707408786,0.180327868852459,88,4.48863636973214,6.060133523554005,3.8602032566983495
ionic-framework,100,2608.4151388888886,100,22.96138888888889,21592,6701,0.9131888088310316,0.8852459016393442,97,4.584967478670572,7.866881390489107,3.176443738549235
imgui,100,39.10041666666666,100,3.6577777777777776,5844,425,0.5363301063864917,0.1639344262295081,230,5.442417710521793,3.691386724948482,1.5385384626765672
TypeScript,100,145.32055555555556,100,21.594583333333333,38133,14891,0.7761355199764771,0.4426229508196721,260,5.564520407322694,4.985799800928571,3.117710202035249
odoo,100,580.6713888888889,100,302.6816666666666,15311,6182,0.6137894365825559,0.2131147540983606,1496,7.311218384419629,6.365905664369084,5.71598000363973
rust,100,1243.162638888889,100,68.27888888888889,51667,72444,0.9753631056026502,1.0,3638,8.19946419761216,7.1262180034102345,4.238140226147638
animate.css,100,267.69,100,110.46375,843,315,0.4942402237821651,0.1475409836065573,17,2.8903717578961645,5.5935582987026295,4.713699425932152
jquery,100,6.581666666666667,100,47.81666666666666,2310,900,0.6838982637738295,0.3114754098360656,20,3.044522437723423,2.025733052353858,3.8880717846056325
Vue-core,100,20159.75083333333,100,75.60777777777778,5465,3948,0.8910823611578284,0.8688524590163934,308,5.733341276897746,9.911492965208707,4.338698609160856
lantern,100,92908.33236111113,100,12.078888888888889,7227,928,0.3437169798450883,0.081967213114754,4,1.6094379124341003,11.439379375742691,2.5709993950881698
three.js,100,81.84972222222223,100,2.253611111111111,13426,15813,0.7815263323291296,0.4754098360655737,599,6.396929655216146,4.417028391087497,1.1797654906256732
angular,100,54.888333333333335,100,35.066944444444445,29828,7048,0.9888412870279784,1.0,1023,6.931471805599453,4.023355652356261,3.5853767795014275
grafana,100,718.1765277777778,100,14.381805555555555,41564,67752,0.9089114652785945,0.9016393442622952,980,6.8885724595653635,6.578106846053327,2.733185353517098
netty,100,204.9398611111111,100,16.91166666666667,6348,5601,0.6418406051147727,0.2950819672131147,220,5.3981627015177525,5.327584189814039,2.885452269625007
