repo,n_issues_sampled,n_never_responded,never_responded_rate,median_response_hours,entropy_norm,active_window_rate,unique_contributors_for_metrics,health_docs_touch_contributors,health_docs_touch_bus50,health_file_commits,log_contributors,log_doc_commits,participation_rate,log_bus50,log_response_hours
Chart.js,100,15,0.15,5.911944444444444,0.656522194133825,0.2786885245901639,119,11,3,25,4.787491742782046,3.258096538021482,0.09243697478991597,1.3862943611198906,1.933250993918013
WordPress,0,0,,,0.7618609389563106,0.4098360655737705,61,7,2,31,4.127134385045092,3.4657359027997265,0.11475409836065574,1.0986122886681098,
react-native,100,1,0.01,0.0080555555555555,0.9024702583231397,0.8852459016393442,1233,54,7,221,7.1180162044653335,5.402677381872279,0.043795620437956206,2.0794415416798357,0.008023282768868907
pdf.js,100,23,0.23,6.678888888888889,0.7260913124448205,0.360655737704918,98,10,2,29,4.59511985013459,3.4011973816621555,0.10204081632653061,1.0986122886681098,2.0384748607670837
DefinitelyTyped,100,15,0.15,65.64944444444444,0.8444906552249595,0.7704918032786885,5230,49,4,123,8.562357743370612,4.820281565605037,0.009369024856596558,1.6094379124341003,4.19944671117279
Python,100,21,0.21,1.9619444444444445,0.4609540432160616,0.2295081967213114,171,37,3,42,5.147494476813453,3.7612001156935624,0.21637426900584794,1.3862943611198906,1.0858459595739782
grpc,100,11,0.11,199.59805555555556,0.8398444888862241,0.6885245901639344,387,35,4,160,5.961005339623274,5.081404364984463,0.09043927648578812,1.6094379124341003,5.301303182338063
framework,100,21,0.21,3.5705555555555555,0.903460751929737,0.819672131147541,1317,22,2,402,7.183870715062453,5.998936561946683,0.016704631738800303,1.0986122886681098,1.5196347632846743
guava,100,14,0.14,7.202222222222222,0.7621185979271853,0.4426229508196721,114,8,1,48,4.74493212836325,3.8918202981106265,0.07017543859649122,0.6931471805599453,2.104405120265633
flink,0,0,,,0.7653196402426686,0.4098360655737705,882,24,8,32,6.78332520060396,3.4965075614664802,0.027210884353741496,2.1972245773362196,
minimal-mistakes,100,16,0.16,3.0223611111111115,0.7105378481524905,0.4754098360655737,55,10,2,204,4.02535169073515,5.3230099791384085,0.18181818181818182,1.0986122886681098,1.3918690712860864
redis,100,18,0.18,2.333194444444445,0.6867997988061347,0.4590163934426229,335,30,4,68,5.817111159963204,4.23410650459726,0.08955223880597014,1.6094379124341003,1.2039311367911898
ardupilot,100,11,0.11,5.776666666666666,0.7051409591642314,0.3278688524590163,492,21,8,28,6.20050917404269,3.367295829986474,0.042682926829268296,2.1972245773362196,1.9134853389721456
material-ui,100,1,0.01,24.880555555555556,0.9779650964968668,1.0,790,66,3,586,6.673297967767654,6.375024819828097,0.08354430379746836,1.3862943611198906,3.253491936000269
mybatis-3,100,4,0.04,5.447777777777778,0.5479925707408786,0.180327868852459,88,5,1,16,4.48863636973214,2.833213344056216,0.056818181818181816,0.6931471805599453,1.8637355408662974
ionic-framework,100,1,0.01,204.04222222222225,0.9131888088310316,0.8852459016393442,97,14,2,340,4.584967478670572,5.831882477283517,0.14432989690721648,1.0986122886681098,5.323215919990756
imgui,100,6,0.06,2.8856944444444443,0.5363301063864917,0.1639344262295081,230,3,1,13,5.442417710521793,2.6390573296152584,0.013043478260869565,0.6931471805599453,1.3573017180244513
TypeScript,100,6,0.06,6.045555555555556,0.7761355199764771,0.4426229508196721,260,26,7,40,5.564520407322694,3.713572066704308,0.1,2.0794415416798357,1.952397000375721
odoo,100,20,0.2,58.41569444444444,0.6137894365825559,0.2131147540983606,1496,11,4,15,7.311218384419629,2.772588722239781,0.007352941176470588,1.6094379124341003,4.084558407706075
rust,100,36,0.36,5.791805555555555,0.9753631056026502,1.0,3638,426,19,1772,8.19946419761216,7.480428306074208,0.1170973062122045,2.995732273553991,1.9157168201474708
animate.css,100,20,0.2,38.900416666666665,0.4942402237821651,0.1475409836065573,17,7,2,13,2.8903717578961645,2.6390573296152584,0.4117647058823529,1.0986122886681098,3.686386766614893
jquery,100,4,0.04,1.973472222222222,0.6838982637738295,0.3114754098360656,20,4,2,26,3.044522437723423,3.295836866004329,0.2,1.0986122886681098,1.0897303683425756
Vue-core,100,20,0.2,12.295972222222222,0.8910823611578284,0.8688524590163934,308,42,1,320,5.733341276897746,5.771441123130016,0.13636363636363635,0.6931471805599453,2.587461148927864
lantern,100,26,0.26,19.32263888888889,0.3437169798450883,0.081967213114754,4,4,1,32,1.6094379124341003,3.4965075614664802,1.0,0.6931471805599453,3.0117354808575247
three.js,100,16,0.16,4.51125,0.7815263323291296,0.4754098360655737,599,23,3,64,6.396929655216146,4.174387269895637,0.038397328881469114,1.3862943611198906,1.7067914576900105
angular,100,12,0.12,2.8958333333333335,0.9888412870279784,1.0,1023,88,5,697,6.931471805599453,6.548219102762372,0.08602150537634409,1.791759469228055,1.3599076059466957
grafana,100,41,0.41,578.3644444444444,0.9089114652785945,0.9016393442622952,980,75,1,501,6.8885724595653635,6.218600119691729,0.07653061224489796,0.6931471805599453,6.361931717288039
netty,100,17,0.17,3.9477777777777776,0.6418406051147727,0.2950819672131147,220,13,2,38,5.3981627015177525,3.6635616461296463,0.05909090909090909,1.0986122886681098,1.5989385419973916
scrapy,100,17,0.17,11.728333333333332,0.7107246215028619,0.4098360655737705,165,13,2,51,5.111987788356544,3.9512437185814275,0.07878787878787878,1.0986122886681098,2.5438304796722377
numpy,100,4,0.04,1.4265277777777778,0.6783294223103542,0.3770491803278688,773,35,8,55,6.651571873589727,4.02535169073515,0.045278137128072445,2.1972245773362196,0.8864613374702979
Ghost,100,16,0.16,68.15194444444444,0.7971271222100823,0.5081967213114754,235,17,2,53,5.4638318050256105,3.9889840465642745,0.07234042553191489,1.0986122886681098,4.236306176940945
ansible,100,1,0.01,0.0480555555555555,0.6275124848977414,0.2295081967213114,498,15,6,19,6.212606095751519,2.995732273553991,0.030120481927710843,1.9459101490553132,0.04693659552010904
bitcoin,100,6,0.06,0.6897222222222221,0.8734936734862313,0.6721311475409836,377,23,3,66,5.934894195619588,4.204692619390966,0.0610079575596817,1.3862943611198906,0.5245641498765039
airflow,100,23,0.23,2.9363888888888887,0.9517714861438265,1.0,1389,135,6,568,7.237059026124737,6.343880434126331,0.09719222462203024,1.9459101490553132,1.370263777380669
FreeRDP,100,15,0.15,2.318333333333334,0.7307802444542505,0.4098360655737705,179,7,1,53,5.19295685089021,3.9889840465642745,0.03910614525139665,0.6931471805599453,1.19946264884805
todomvc,100,2,0.02,586.1509722222222,0.1548367060935873,0.0327868852459016,8,1,1,3,2.1972245773362196,1.3862943611198906,0.125,0.6931471805599453,6.375281979642509
nixpkgs,100,18,0.18,29.48263888888889,0.8296127940201382,0.7049180327868853,8008,78,14,165,8.988321188323683,5.111987788356544,0.00974025974025974,2.70805020110221,3.417157304790263
markdown-here,100,29,0.29,434.34472222222223,0.3106478820952459,0.0655737704918032,2,2,1,7,1.0986122886681098,2.0794415416798357,1.0,0.6931471805599453,6.076138182132855
flutter,100,10,0.1,8.538055555555555,0.9204395012412848,0.8688524590163934,978,109,27,166,6.88653164253051,5.117993812416755,0.1114519427402863,3.332204510175204,2.255289644513667
go-ethereum,100,31,0.31,17.68111111111111,0.8289409144156485,0.5409836065573771,416,36,10,53,6.0330862217988015,3.9889840465642745,0.08653846153846154,2.3978952727983707,2.9275129123546173
opencv,100,18,0.18,25.98166666666667,0.5701787646017642,0.1967213114754098,578,10,3,17,6.361302477572996,2.8903717578961645,0.01730103806228374,1.3862943611198906,3.2951576230253594
socket.io,100,6,0.06,70.91305555555556,0.832709763456306,0.7213114754098361,104,27,1,349,4.653960350157523,5.857933154483459,0.25961538461538464,0.6931471805599453,4.275457827597506
shadowsocks-android,100,32,0.32,5.902222222222222,0.459551722133398,0.1147540983606557,8,2,1,9,2.1972245773362196,2.302585092994046,0.25,0.6931471805599453,1.931843420944267
spring-framework,100,34,0.34,5.691527777777778,0.7034303892605933,0.3278688524590163,556,17,5,35,6.322565239927284,3.58351893845611,0.030575539568345324,1.791759469228055,1.9008422154491098
erpnext,100,29,0.29,71.11555555555556,0.589591190282785,0.2786885245901639,280,18,2,42,5.638354669333745,3.7612001156935624,0.06428571428571428,1.0986122886681098,4.27826977075059
ohmyzsh,100,14,0.14,24.99361111111111,0.7702421959925077,0.4590163934426229,597,26,5,55,6.393590753950631,4.02535169073515,0.04355108877721943,1.791759469228055,3.2578507813300535
kafka,0,0,,,0.7821890710999863,0.4918032786885246,561,34,5,69,6.331501849893691,4.248495242049359,0.06060606060606061,1.791759469228055,
d3,100,56,0.56,3.4161111111111113,0.5461211772250886,0.1639344262295081,10,3,1,13,2.3978952727983707,2.6390573296152584,0.3,0.6931471805599453,1.4852594696888566
Rocket.Chat,100,15,0.15,7.489722222222222,0.8706569291712621,0.7213114754098361,169,42,1,390,5.135798437050262,5.968707559985366,0.2485207100591716,0.6931471805599453,2.138856281557405
azure-quickstart-templates,100,29,0.29,50.655,0.3372261973790022,0.0655737704918032,351,3,1,5,5.863631175598097,1.791759469228055,0.008547008547008548,0.6931471805599453,3.9445869963014086
moby,100,10,0.1,7.7740277777777775,0.8275082829345493,0.5573770491803278,303,19,2,66,5.717027701406222,4.204692619390966,0.0627062706270627,1.0986122886681098,2.1717959686585204
etcd,100,2,0.02,18.647083333333335,0.8652303382562401,0.6885245901639344,444,46,5,105,6.09807428216624,4.663439094112067,0.1036036036036036,1.791759469228055,2.977928896424696
homebrew-cask,100,25,0.25,0.6052777777777778,0.7117241539072521,0.360655737704918,3456,21,5,40,8.148156439921625,3.713572066704308,0.006076388888888889,1.791759469228055,0.47329681187357664
html5-boilerplate,100,58,0.58,12.115416666666668,0.7409283209082461,0.3934426229508196,18,14,2,42,2.9444389791664403,3.7612001156935624,0.7777777777777778,1.0986122886681098,2.573788383051815
youtube-dl,100,11,0.11,4.320555555555556,0.5631586708702783,0.2786885245901639,100,9,1,104,4.61512051684126,4.653960350157523,0.09,0.6931471805599453,1.6715777256373634
java-design-patterns,100,12,0.12,552.7248611111111,0.6872714835628879,0.3442622950819672,122,25,5,462,4.812184355372417,6.137727054086234,0.20491803278688525,1.791759469228055,6.316667922786834
symfony,100,26,0.26,41.17333333333333,0.9228714908654256,0.9836065573770492,1599,23,1,173,7.3777589082278725,5.159055299214529,0.014383989993746092,0.6931471805599453,3.741788109769338
dubbo,100,17,0.17,20.471944444444443,0.7755033372766229,0.4754098360655737,208,24,3,51,5.342334251964811,3.9512437185814275,0.11538461538461539,1.3862943611198906,3.066747173437025
jenkins,100,17,0.17,2.033888888888889,0.8082319631819973,0.5245901639344263,173,19,3,59,5.159055299214529,4.0943445622221,0.10982658959537572,1.3862943611198906,1.1098452582678977
node,100,16,0.16,8.986527777777777,0.962780697231144,1.0,991,177,6,988,6.899723107284872,6.8966943316227125,0.17860746720484358,1.9459101490553132,2.301236962452068
kubernetes,100,0,0.0,0.0027777777777777,0.6703075505865258,0.2786885245901639,2019,19,9,21,7.61085279039525,3.091042453358316,0.009410599306587419,2.302585092994046,0.0027739268827251568
qmk_firmware,100,7,0.07,10.745277777777778,0.7600122078091428,0.3934426229508196,1109,7,1,43,7.01211529430638,3.784189633918261,0.0063119927862939585,0.6931471805599453,2.4634512685572796
darknet,100,25,0.25,44.675,0.4748013448513826,0.1475409836065573,1,1,1,15,0.6931471805599453,2.772588722239781,1.0,0.6931471805599453,3.8215511022640705
HanLP,100,1,0.01,11.354722222222222,0.7242534624510166,0.4262295081967213,9,2,1,44,2.302585092994046,3.8066624897703196,0.2222222222222222,0.6931471805599453,2.5140383561625104
electron,100,7,0.07,4.4222222222222225,0.8304395001888613,0.5409836065573771,307,21,4,44,5.730099782973574,3.8066624897703196,0.06840390879478828,1.6094379124341003,1.690505735522882
openssl,100,11,0.11,23.931944444444444,0.7836509650303464,0.4590163934426229,689,29,6,51,6.536691597591305,3.9512437185814275,0.0420899854862119,1.9459101490553132,3.216149890660969
vscode,100,12,0.12,0.2194444444444444,0.7114677386865149,0.3442622950819672,1325,25,8,34,7.189922170745808,3.5553480614894135,0.018867924528301886,2.1972245773362196,0.1983953816250156
echarts,100,1,0.01,10.321944444444444,0.6202330303063626,0.2622950819672131,154,9,2,30,5.043425116919247,3.4339872044851463,0.05844155844155844,1.0986122886681098,2.4267428287347776
reveal.js,100,14,0.14,48.397777777777776,0.593864642523777,0.2295081967213114,50,1,1,24,3.9318256327243257,3.2188758248682006,0.02,0.6931471805599453,3.8999054389265444
AspNetCore.Docs,100,30,0.3,4.149444444444445,0.696989337819305,0.3114754098360656,521,14,4,25,6.257667587882639,3.258096538021482,0.026871401151631478,1.6094379124341003,1.6388888339915766
django,0,0,,,0.9231480685272992,0.8524590163934426,870,162,77,172,6.769641976852503,5.153291594497779,0.18620689655172415,4.356708826689592,
shadowsocks-windows,100,19,0.19,1.5894444444444444,0.2529196480342516,0.0491803278688524,10,2,1,4,2.3978952727983707,1.6094379124341003,0.2,0.6931471805599453,0.9514433524884849
react,100,21,0.21,16.435277777777777,0.7677425728022537,0.4754098360655737,323,40,7,67,5.780743515792329,4.219507705176107,0.1238390092879257,2.0794415416798357,2.8584956121932867
axios,100,12,0.12,95.12625,0.8074911673397316,0.7049180327868853,172,82,5,226,5.153291594497779,5.424950017481403,0.47674418604651164,1.791759469228055,4.565662431642428
elasticsearch,100,0,0.0,0.0008333333333333,0.8915496583597049,0.7213114754098361,595,47,8,89,6.39024066706535,4.499809670330265,0.07899159663865546,2.1972245773362196,0.0008329863038918294
protobuf,100,12,0.12,35.19361111111111,0.6870475799638535,0.3114754098360656,551,19,4,37,6.313548046277095,3.6375861597263857,0.034482758620689655,1.6094379124341003,3.5888826146124324
zxing,100,25,0.25,2.4305555555555554,0.5952873742016478,0.2131147540983606,25,8,2,18,3.258096538021482,2.9444389791664403,0.32,1.0986122886681098,1.232722217611922
godot,100,7,0.07,3.1855555555555557,0.8742944353630595,0.7213114754098361,1796,22,1,81,7.493873886783559,4.406719247264253,0.012249443207126948,0.6931471805599453,1.4316394443677303
spark,36,9,0.25,18.22833333333333,0.7148989017830899,0.3770491803278688,1033,14,3,37,6.9411900550683745,3.6375861597263857,0.013552758954501452,1.3862943611198906,2.9563848857111434
laravel,0,0,,,0.950281470791576,0.9672131147540984,142,17,2,184,4.962844630259907,5.220355825078324,0.11971830985915492,1.0986122886681098,
gitignore,0,0,,,0.4251816414752122,0.0983606557377049,213,8,4,9,5.365976015021851,2.302585092994046,0.03755868544600939,1.6094379124341003,
pandas,100,17,0.17,8.363055555555556,0.8051040409332259,0.4918032786885246,834,35,13,45,6.727431724850855,3.828641396489095,0.04196642685851319,2.6390573296152584,2.2367716854599813
AdminLTE,100,26,0.26,62.36722222222222,0.6144959087119523,0.2622950819672131,21,8,2,30,3.091042453358316,3.4339872044851463,0.38095238095238093,1.0986122886681098,4.148946728103289
react-router,100,11,0.11,43.28916666666667,0.894745948419439,0.8360655737704918,380,395,109,747,5.942799375126701,6.617402977974478,1.0394736842105263,4.700480365792417,3.7907401023746377
ant-design,100,6,0.06,0.1329166666666666,0.9726613965447332,1.0,824,55,4,568,6.715383386334681,6.343880434126331,0.06674757281553398,1.6094379124341003,0.12479542829643367
rails,100,24,0.24,63.05986111111112,0.7079516285291358,0.360655737704918,1480,24,11,52,7.300472814267799,3.970291913552122,0.016216216216216217,2.4849066497880004,4.159817976072373
spring-boot,100,46,0.46,1.27625,0.7307287652409399,0.4098360655737705,575,27,5,59,6.3561076606958915,4.0943445622221,0.04695652173913043,1.791759469228055,0.8225293520596807
