repo,overall_longest_gap_months,days_since_last_commit,overall_h2_decline_ratio,doc_h1_entropy,doc_h1_awr,entropy_norm,active_window_rate,unique_contributors_for_metrics,health_docs_touch_contributors,health_docs_touch_bus50,health_file_commits,log_contributors,log_doc_commits,participation_rate,log_bus50,log_days_since_last
go,0,0,-0.19229294478527606,0.806632930919622,0.6333333333333333,0.7105393331015678,0.3770491803278688,1079,35,14,46,6.984716320118266,3.8501476017100584,0.03243744207599629,2.70805020110221,0.0
go-ethereum,0,0,0.23232876712328768,0.858234080091616,0.6666666666666666,0.8289409144156485,0.5409836065573771,416,36,10,53,6.0330862217988015,3.9889840465642745,0.08653846153846154,2.3978952727983707,0.0
godot,0,0,0.26350719760702934,0.8952278857440634,0.8333333333333334,0.8742944353630595,0.7213114754098361,1796,22,1,81,7.493873886783559,4.406719247264253,0.012249443207126948,0.6931471805599453,0.0
grafana,0,0,0.5290506467879851,0.9772708855064013,1.0,0.9089114652785945,0.9016393442622952,980,75,1,501,6.8885724595653635,6.218600119691729,0.07653061224489796,0.6931471805599453,0.0
grpc,0,0,-0.13495816660603857,0.9174042711938056,0.8666666666666667,0.8398444888862241,0.6885245901639344,387,35,4,160,5.961005339623274,5.081404364984463,0.09043927648578812,1.6094379124341003,0.0
guava,0,0,0.6612903225806451,0.5139823600573742,0.23333333333333334,0.7621185979271853,0.4426229508196721,114,8,1,48,4.74493212836325,3.8918202981106265,0.07017543859649122,0.6931471805599453,0.0
homebrew-cask,0,0,0.7126430355212643,0.6626659192886647,0.36666666666666664,0.7117241539072521,0.360655737704918,3456,21,5,40,8.148156439921625,3.713572066704308,0.006076388888888889,1.791759469228055,0.0
html5-boilerplate,3,0,-0.5519287833827893,0.751943345853623,0.4666666666666667,0.7409283209082461,0.3934426229508196,18,14,2,42,2.9444389791664403,3.7612001156935624,0.7777777777777778,1.0986122886681098,0.0
imgui,0,0,0.6176232821341956,0.45887087219815853,0.16666666666666666,0.5363301063864917,0.1639344262295081,230,3,1,13,5.442417710521793,2.6390573296152584,0.013043478260869565,0.6931471805599453,0.0
ionic-framework,0,0,0.12326043737574553,0.8975437840804371,0.8333333333333334,0.9131888088310316,0.8852459016393442,97,14,2,340,4.584967478670572,5.831882477283517,0.14432989690721648,1.0986122886681098,0.0
java-design-patterns,2,0,0.1897810218978102,0.6856445926179265,0.43333333333333335,0.6872714835628879,0.3442622950819672,122,25,5,462,4.812184355372417,6.137727054086234,0.20491803278688525,1.791759469228055,0.0
jekyll,2,0,-0.5389948006932409,0.8933935871855915,0.9333333333333333,0.889046367043461,0.8852459016393442,126,13,1,388,4.844187086458591,5.963579343618446,0.10317460317460317,0.6931471805599453,0.0
jenkins,0,0,0.31174242424242427,0.7721610440934473,0.5333333333333333,0.8082319631819973,0.5245901639344263,173,19,3,59,5.159055299214529,4.0943445622221,0.10982658959537572,1.3862943611198906,0.0
jquery,2,0,0.9230769230769231,0.6362334831107442,0.3,0.6838982637738295,0.3114754098360656,20,4,2,26,3.044522437723423,3.295836866004329,0.2,1.0986122886681098,0.0
juice-shop,0,0,-0.4807646919990559,0.869915788757795,0.8333333333333334,0.8902799552794232,0.819672131147541,58,9,1,140,4.07753744390572,4.948759890378168,0.15517241379310345,0.6931471805599453,0.0
kafka,0,0,0.9266477675407513,0.7519836666614237,0.5,0.7821890710999863,0.4918032786885246,561,34,5,69,6.331501849893691,4.248495242049359,0.06060606060606061,1.791759469228055,0.0
kubernetes,0,0,-0.03549095825587291,0.6482380084145684,0.3333333333333333,0.6703075505865258,0.2786885245901639,2019,19,9,21,7.61085279039525,3.091042453358316,0.009410599306587419,2.302585092994046,0.0
lantern,55,0,538.0,,0.0,0.3437169798450883,0.081967213114754,4,4,1,32,1.6094379124341003,3.4965075614664802,1.0,0.6931471805599453,0.0
laravel,1,0,-0.2662037037037037,0.9410246262940408,0.9666666666666667,0.950281470791576,0.9672131147540984,142,17,2,184,4.962844630259907,5.220355825078324,0.11971830985915492,1.0986122886681098,0.0
markdown-here,30,0,13.5,0.0,0.03333333333333333,0.3106478820952459,0.0655737704918032,2,2,1,7,1.0986122886681098,2.0794415416798357,1.0,0.6931471805599453,0.0
material-ui,0,0,-0.08898876404494382,0.9775554724161598,1.0,0.9779650964968668,1.0,790,66,3,586,6.673297967767654,6.375024819828097,0.08354430379746836,1.3862943611198906,0.0
metasploit-framework,0,0,-0.052110817941952506,0.6159902582704453,0.5,0.668810014030381,0.4098360655737705,318,17,4,79,5.765191102784844,4.382026634673881,0.05345911949685535,1.6094379124341003,0.0
minimal-mistakes,20,0,-0.36401673640167365,0.7664152236721479,0.5666666666666667,0.7105378481524905,0.4754098360655737,55,10,2,204,4.02535169073515,5.3230099791384085,0.18181818181818182,1.0986122886681098,0.0
moby,0,0,1.1297836938435941,0.6081618616991217,0.3,0.8275082829345493,0.5573770491803278,303,19,2,66,5.717027701406222,4.204692619390966,0.0627062706270627,1.0986122886681098,0.0
mybatis-3,1,0,0.3263888888888889,0.4556707159173473,0.16666666666666666,0.5479925707408786,0.180327868852459,88,5,1,16,4.48863636973214,2.833213344056216,0.056818181818181816,0.6931471805599453,0.0
netty,1,0,-0.04769475357710652,0.6808337152529793,0.43333333333333335,0.6418406051147727,0.2950819672131147,220,13,2,38,5.3981627015177525,3.6635616461296463,0.05909090909090909,1.0986122886681098,0.0
nixpkgs,0,0,0.8634241819353937,0.7612609408499332,0.5333333333333333,0.8296127940201382,0.7049180327868853,8008,78,14,165,8.988321188323683,5.111987788356544,0.00974025974025974,2.70805020110221,0.0
node,0,0,0.032605398847437066,0.9516131556144772,1.0,0.962780697231144,1.0,991,177,6,988,6.899723107284872,6.8966943316227125,0.17860746720484358,1.9459101490553132,0.0
numpy,0,0,0.03715967623252391,0.6831990733031974,0.4666666666666667,0.6783294223103542,0.3770491803278688,773,35,8,55,6.651571873589727,4.02535169073515,0.045278137128072445,2.1972245773362196,0.0
odoo,0,0,0.6787682661677706,0.595474473692643,0.26666666666666666,0.6137894365825559,0.2131147540983606,1496,11,4,15,7.311218384419629,2.772588722239781,0.007352941176470588,1.6094379124341003,0.0
ohmyzsh,0,0,-0.15376676986584106,0.735090899036405,0.4666666666666667,0.7702421959925077,0.4590163934426229,597,26,5,55,6.393590753950631,4.02535169073515,0.04355108877721943,1.791759469228055,0.0
opencv,0,0,-0.12186897880539499,0.4324384360202381,0.16666666666666666,0.5701787646017642,0.1967213114754098,578,10,3,17,6.361302477572996,2.8903717578961645,0.01730103806228374,1.3862943611198906,0.0
openssl,0,0,-0.10376224016492011,0.6670924065216519,0.36666666666666664,0.7836509650303464,0.4590163934426229,689,29,6,51,6.536691597591305,3.9512437185814275,0.0420899854862119,1.9459101490553132,0.0
pandas,0,0,-0.25904109589041097,0.8238278243545349,0.6,0.8051040409332259,0.4918032786885246,834,35,13,45,6.727431724850855,3.828641396489095,0.04196642685851319,2.6390573296152584,0.0
pdf.js,0,0,0.06096491228070176,0.6914251182786031,0.36666666666666664,0.7260913124448205,0.360655737704918,98,10,2,29,4.59511985013459,3.4011973816621555,0.10204081632653061,1.0986122886681098,0.0
protobuf,0,0,1.4718110236220472,0.7258379462115416,0.43333333333333335,0.6870475799638535,0.3114754098360656,551,19,4,37,6.313548046277095,3.6375861597263857,0.034482758620689655,1.6094379124341003,0.0
qmk_firmware,0,0,-0.4322046429099512,0.6827560068484526,0.36666666666666664,0.7600122078091428,0.3934426229508196,1109,7,1,43,7.01211529430638,3.784189633918261,0.0063119927862939585,0.6931471805599453,0.0
rails,0,0,0.1783643271345731,0.7816393743686917,0.5666666666666667,0.7079516285291358,0.360655737704918,1480,24,11,52,7.300472814267799,3.970291913552122,0.016216216216216217,2.4849066497880004,0.0
react,0,0,1.2450539568345325,0.723558873325981,0.4666666666666667,0.7677425728022537,0.4754098360655737,323,40,7,67,5.780743515792329,4.219507705176107,0.1238390092879257,2.0794415416798357,0.0
react-native,0,0,0.9421088904203997,0.8807136403852833,0.7666666666666667,0.9024702583231397,0.8852459016393442,1233,54,7,221,7.1180162044653335,5.402677381872279,0.043795620437956206,2.0794415416798357,0.0
react-router,3,0,0.8568019093078759,0.7752717825684426,0.6666666666666666,0.894745948419439,0.8360655737704918,380,395,109,747,5.942799375126701,6.617402977974478,1.0394736842105263,4.700480365792417,0.0
redis,1,0,-0.4486301369863014,0.7402227644573672,0.4666666666666667,0.6867997988061347,0.4590163934426229,335,30,4,68,5.817111159963204,4.23410650459726,0.08955223880597014,1.6094379124341003,0.0
reveal.js,3,0,0.47191011235955055,0.641228754414651,0.36666666666666664,0.593864642523777,0.2295081967213114,50,1,1,24,3.9318256327243257,3.2188758248682006,0.02,0.6931471805599453,0.0
rust,0,0,0.09988116830320845,0.9708966260449111,1.0,0.9753631056026502,1.0,3638,426,19,1772,8.19946419761216,7.480428306074208,0.1170973062122045,2.995732273553991,0.0
scrapy,0,0,0.3447015834348356,0.6937066990695376,0.5,0.7107246215028619,0.4098360655737705,165,13,2,51,5.111987788356544,3.9512437185814275,0.07878787878787878,1.0986122886681098,0.0
shadowsocks-android,10,0,-0.5944444444444444,0.4556707159173473,0.16666666666666666,0.459551722133398,0.1147540983606557,8,2,1,9,2.1972245773362196,2.302585092994046,0.25,0.6931471805599453,0.0
shadowsocks-windows,28,336,-0.9473684210526315,0.3056925706357593,0.1,0.2529196480342516,0.0491803278688524,10,2,1,4,2.3978952727983707,1.6094379124341003,0.2,0.6931471805599453,5.820082930352362
socket.io,2,0,-0.375,0.8523950353072637,0.8333333333333334,0.832709763456306,0.7213114754098361,104,27,1,349,4.653960350157523,5.857933154483459,0.25961538461538464,0.6931471805599453,0.0
spark,0,0,0.33233898305084747,0.6940523730603417,0.4,0.7148989017830899,0.3770491803278688,1033,14,3,37,6.9411900550683745,3.6375861597263857,0.013552758954501452,1.3862943611198906,0.0
spring-boot,0,0,0.1487116564417178,0.6919687821213937,0.4666666666666667,0.7307287652409399,0.4098360655737705,575,27,5,59,6.3561076606958915,4.0943445622221,0.04695652173913043,1.791759469228055,0.0
spring-framework,0,0,0.4491420044764984,0.6193634467055357,0.3,0.7034303892605933,0.3278688524590163,556,17,5,35,6.322565239927284,3.58351893845611,0.030575539568345324,1.791759469228055,0.0
symfony,0,0,-0.04346355487907999,0.8861810312373731,0.9666666666666667,0.9228714908654256,0.9836065573770492,1599,23,1,173,7.3777589082278725,5.159055299214529,0.014383989993746092,0.6931471805599453,0.0
terraform,0,0,-0.10117302052785923,0.8752984034373315,0.8333333333333334,0.9190458265163766,0.918032786885246,377,55,4,562,5.934894195619588,6.333279628139691,0.14588859416445624,1.6094379124341003,0.0
three.js,0,0,-0.14082687338501293,0.8291301960710011,0.6666666666666666,0.7815263323291296,0.4754098360655737,599,23,3,64,6.396929655216146,4.174387269895637,0.038397328881469114,1.3862943611198906,0.0
todomvc,34,0,7.4,0.0,0.03333333333333333,0.1548367060935873,0.0327868852459016,8,1,1,3,2.1972245773362196,1.3862943611198906,0.125,0.6931471805599453,0.0
vscode,0,0,-0.15134813515798703,0.7826550178517367,0.5333333333333333,0.7114677386865149,0.3442622950819672,1325,25,8,34,7.189922170745808,3.5553480614894135,0.018867924528301886,2.1972245773362196,0.0
youtube-dl,3,0,-0.6901408450704225,0.645814864570004,0.4666666666666667,0.5631586708702783,0.2786885245901639,100,9,1,104,4.61512051684126,4.653960350157523,0.09,0.6931471805599453,0.0
zxing,3,0,0.007042253521126761,0.6007272266999742,0.26666666666666666,0.5952873742016478,0.2131147540983606,25,8,2,18,3.258096538021482,2.9444389791664403,0.32,1.0986122886681098,0.0
