repo,since,until,months,include_merges,total_commits_in_range,health_file_commits,active_months,active_month_rate,entropy_norm,top1_month_share,top3_month_share,top6_month_share,gini_month_concentration,cluster_id,archetype
react,2016-05-30,2026-05-29,121,no,14376,285,76,0.628099,0.829379,0.084211,0.175439,0.280702,0.653212,1,Occasional
axios,2016-05-30,2026-05-29,121,no,1500,450,92,0.760331,0.882788,0.057778,0.146667,0.231111,0.546152,0,Consistent
elasticsearch,2016-05-30,2026-05-29,121,no,72374,219,94,0.77686,0.909824,0.036530,0.100457,0.178082,0.474659,0,Consistent
protobuf,2016-05-30,2026-05-29,121,no,16526,78,45,0.371901,0.754659,0.076923,0.205128,0.333333,0.743166,1,Occasional
zxing,2016-05-30,2026-05-29,121,no,654,46,33,0.272727,0.703242,0.086957,0.217391,0.369565,0.789795,1,Occasional
godot,2016-05-30,2026-05-29,121,no,42599,189,90,0.743802,0.895358,0.042328,0.116402,0.195767,0.510910,0,Consistent
spark,2016-05-30,2026-05-29,121,no,31924,101,57,0.471074,0.801832,0.069307,0.168317,0.277228,0.679813,1,Occasional
laravel,2016-05-30,2026-05-29,121,no,1811,320,108,0.892562,0.935654,0.040625,0.093750,0.159375,0.410589,0,Consistent
gitignore,2016-05-30,2026-05-29,121,no,1225,28,16,0.132231,0.512805,0.250000,0.500000,0.642857,0.915584,2,Sparse
pandas,2016-05-30,2026-05-29,121,no,24259,126,75,0.619835,0.874356,0.039683,0.103175,0.182540,0.541650,0,Consistent
AdminLTE,2016-05-30,2026-05-29,121,no,1963,60,31,0.256198,0.679964,0.100000,0.250000,0.400000,0.823691,1,Occasional
react-router,2016-05-30,2026-05-29,121,no,7492,1065,90,0.743802,0.858653,0.038498,0.112676,0.203756,0.611508,0,Consistent
ant-design,2016-05-30,2026-05-29,121,no,23769,1540,121,1.0,0.962311,0.027273,0.079221,0.147403,0.326929,0,Consistent
rails,2016-05-30,2026-05-29,121,no,23874,135,45,0.371901,0.647286,0.281481,0.414815,0.525926,0.827426,1,Occasional
spring-boot,2016-05-30,2026-05-29,121,no,34307,143,63,0.520661,0.826078,0.055944,0.139860,0.237762,0.649367,1,Occasional
