repo,n_newcomers,n_retained,retention_rate,unique_contributors_for_metrics,archetype,entropy_norm,active_window_rate,health_docs_touch_bus50,reactive_rate,log_contributors,log_bus50
elasticsearch,673,292,0.4338781575037147,595,Consistent,0.8915496583597049,0.7213114754098361,8,0.8427,6.39024066706535,2.1972245773362196
electron,408,78,0.19117647058823528,307,Occasional,0.8304395001888613,0.5409836065573771,4,1.0,5.730099782973574,1.6094379124341003
erpnext,378,199,0.5264550264550265,280,Sparse,0.589591190282785,0.2786885245901639,2,0.4524,5.638354669333745,1.0986122886681098
etcd,445,135,0.30337078651685395,444,Consistent,0.8652303382562401,0.6885245901639344,5,0.1429,6.09807428216624,1.791759469228055
flask,167,8,0.04790419161676647,138,Sparse,0.6243438750292691,0.2459016393442623,1,0.1875,4.9344739331306915,0.6931471805599453
flink,878,312,0.3553530751708428,882,Occasional,0.7653196402426686,0.4098360655737705,8,0.375,6.78332520060396,2.1972245773362196
flutter,1247,438,0.351242983159583,978,Consistent,0.9204395012412848,0.8688524590163934,27,1.0,6.88653164253051,3.332204510175204
framework,1656,447,0.26992753623188404,1317,Consistent,0.903460751929737,0.819672131147541,2,0.0498,7.183870715062453,1.0986122886681098
gitignore,274,30,0.10948905109489052,213,Sparse,0.4251816414752122,0.0983606557377049,4,0.1111,5.365976015021851,1.6094379124341003
go,875,272,0.31085714285714283,1079,Occasional,0.7105393331015678,0.3770491803278688,14,0.5,6.984716320118266,2.70805020110221
go-ethereum,607,159,0.26194398682042835,416,Occasional,0.8289409144156485,0.5409836065573771,10,0.9811,6.0330862217988015,2.3978952727983707
godot,1993,703,0.35273457099849476,1796,Consistent,0.8742944353630595,0.7213114754098361,1,0.0864,7.493873886783559,0.6931471805599453
grafana,1433,509,0.35519888346127004,980,Consistent,0.9089114652785945,0.9016393442622952,1,0.98,6.8885724595653635,0.6931471805599453
grpc,442,130,0.29411764705882354,387,Consistent,0.8398444888862241,0.6885245901639344,4,0.6813,5.961005339623274,1.6094379124341003
guava,81,9,0.1111111111111111,114,Occasional,0.7621185979271853,0.4426229508196721,1,0.25,4.74493212836325,0.6931471805599453
homebrew-cask,4051,1262,0.3115280177733893,3456,Occasional,0.7117241539072521,0.360655737704918,5,0.7,8.148156439921625,1.791759469228055
html5-boilerplate,26,2,0.07692307692307693,18,Occasional,0.7409283209082461,0.3934426229508196,2,0.5,2.9444389791664403,1.0986122886681098
imgui,287,44,0.15331010452961671,230,Sparse,0.5363301063864917,0.1639344262295081,1,0.3077,5.442417710521793,0.6931471805599453
ionic-framework,116,26,0.22413793103448276,97,Consistent,0.9131888088310316,0.8852459016393442,2,0.1324,4.584967478670572,1.0986122886681098
java-design-patterns,273,51,0.18681318681318682,122,Occasional,0.6872714835628879,0.3442622950819672,5,0.8939,4.812184355372417,1.791759469228055
jekyll,159,15,0.09433962264150944,126,Consistent,0.889046367043461,0.8852459016393442,1,0.933,4.844187086458591,0.6931471805599453
