repo,longest_dormancy_gap_months,h1_doc_commits,h2_doc_commits,h1_entropy,h1_awr,went_dormant_h2,h2_decline_ratio,entropy_norm,active_window_rate,unique_contributors_for_metrics,health_docs_touch_contributors,health_docs_touch_bus50,health_file_commits,log_contributors,log_doc_commits,participation_rate,log_bus50
ant-design,0,274,293,0.9449750196129068,1.0,0,0.06909090909090909,0.9726613965447332,1.0,824,55,4,568,6.715383386334681,6.343880434126331,0.06674757281553398,1.6094379124341003
ardupilot,14,24,4,0.7857090895113825,0.5333333333333333,0,-0.8,0.7051409591642314,0.3278688524590163,492,21,8,28,6.20050917404269,3.367295829986474,0.042682926829268296,2.1972245773362196
aspnetcore,13,27,10,0.7492302020896606,0.5,0,-0.6071428571428571,0.71489890178309,0.360655737704918,454,21,5,37,6.12029741895095,3.6375861597263857,0.046255506607929514,1.791759469228055
axios,3,107,51,0.7737417734949346,0.7333333333333333,0,-0.5185185185185185,0.8074911673397316,0.7049180327868853,172,82,5,226,5.153291594497779,5.424950017481403,0.47674418604651164,1.791759469228055
azure-quickstart-templates,29,3,1,0.3230075074711544,0.1,0,-0.5,0.3372261973790022,0.0655737704918032,351,3,1,5,5.863631175598097,1.791759469228055,0.008547008547008548,0.6931471805599453
bitcoin,3,33,33,0.8457817496238785,0.6666666666666666,0,0.0,0.8734936734862313,0.6721311475409836,377,23,3,66,5.934894195619588,4.204692619390966,0.0610079575596817,1.3862943611198906
bootstrap,4,55,33,0.9133384091976227,0.8666666666666667,0,-0.39285714285714285,0.8630245209581516,0.6885245901639344,257,27,1,89,5.552959584921617,4.499809670330265,0.10505836575875487,0.6931471805599453
core,4,18,12,0.7280437950907873,0.43333333333333335,0,-0.3157894736842105,0.7444371181707646,0.3770491803278688,1826,21,8,30,7.510430556378006,3.4339872044851463,0.011500547645125958,2.1972245773362196
d3,11,6,7,0.45887087219815853,0.16666666666666666,0,0.14285714285714285,0.5461211772250886,0.1639344262295081,10,3,1,13,2.3978952727983707,2.6390573296152584,0.3,0.6931471805599453
darknet,35,15,0,0.5738709696024832,0.3,1,-0.9375,0.4748013448513826,0.1475409836065573,1,1,1,15,0.6931471805599453,2.772588722239781,1.0,0.6931471805599453
django,2,87,85,0.9235991176047298,0.8666666666666667,0,-0.022727272727272728,0.9231480685272992,0.8524590163934426,870,162,77,172,6.769641976852503,5.153291594497779,0.18620689655172415,4.356708826689592
dotfiles,25,4,1,0.20379504709050617,0.06666666666666667,0,-0.6,0.2566170120615672,0.0491803278688524,13,1,1,5,2.6390573296152584,1.791759469228055,0.07692307692307693,0.6931471805599453
dubbo,10,18,33,0.6730785389464972,0.4,0,0.7894736842105263,0.7755033372766229,0.4754098360655737,208,24,3,51,5.342334251964811,3.9512437185814275,0.11538461538461539,1.3862943611198906
echarts,22,25,3,0.6887193641166057,0.43333333333333335,0,-0.8461538461538461,0.6202330303063626,0.2622950819672131,154,9,2,30,5.043425116919247,3.4339872044851463,0.05844155844155844,1.0986122886681098
elasticsearch,4,60,29,0.9151067328256736,0.8333333333333334,0,-0.5081967213114754,0.8915496583597049,0.7213114754098361,595,47,8,89,6.39024066706535,4.499809670330265,0.07899159663865546,2.1972245773362196
electron,4,26,18,0.8363565134211894,0.6333333333333333,0,-0.2962962962962963,0.8304395001888613,0.5409836065573771,307,21,4,44,5.730099782973574,3.8066624897703196,0.06840390879478828,1.6094379124341003
erpnext,9,19,23,0.664540630708737,0.36666666666666664,0,0.2,0.589591190282785,0.2786885245901639,280,18,2,42,5.638354669333745,3.7612001156935624,0.06428571428571428,1.0986122886681098
etcd,4,57,47,0.826530163300288,0.6666666666666666,0,-0.1724137931034483,0.8652303382562401,0.6885245901639344,444,46,5,105,6.09807428216624,4.663439094112067,0.1036036036036036,1.791759469228055
flask,9,17,15,0.5602203663284498,0.26666666666666666,0,-0.1111111111111111,0.6243438750292691,0.2459016393442623,138,8,1,32,4.9344739331306915,3.4965075614664802,0.057971014492753624,0.6931471805599453
flink,4,16,16,0.7036675189385567,0.4,0,0.0,0.7653196402426686,0.4098360655737705,882,24,8,32,6.78332520060396,3.4965075614664802,0.027210884353741496,2.1972245773362196
flutter,1,82,84,0.880822431170523,0.8333333333333334,0,0.024096385542168676,0.9204395012412848,0.8688524590163934,978,109,27,166,6.88653164253051,5.117993812416755,0.1114519427402863,3.332204510175204
framework,4,92,310,0.7808379622164574,0.6333333333333333,0,2.3440860215053765,0.903460751929737,0.819672131147541,1317,22,2,402,7.183870715062453,5.998936561946683,0.016704631738800303,1.0986122886681098
gitignore,23,5,2,0.3916794266021369,0.13333333333333333,0,-0.5,0.4251816414752122,0.0983606557377049,213,8,4,9,5.365976015021851,2.302585092994046,0.03755868544600939,1.6094379124341003
go,10,42,4,0.806632930919622,0.6333333333333333,0,-0.8837209302325582,0.7105393331015678,0.3770491803278688,1079,35,14,46,6.984716320118266,3.8501476017100584,0.03243744207599629,2.70805020110221
go-ethereum,6,29,24,0.858234080091616,0.6666666666666666,0,-0.16666666666666666,0.8289409144156485,0.5409836065573771,416,36,10,53,6.0330862217988015,3.9889840465642745,0.08653846153846154,2.3978952727983707
godot,4,49,32,0.8952278857440634,0.8333333333333334,0,-0.34,0.8742944353630595,0.7213114754098361,1796,22,1,81,7.493873886783559,4.406719247264253,0.012249443207126948,0.6931471805599453
grafana,3,239,83,0.9772708855064013,1.0,0,-0.65,0.9089114652785945,0.9016393442622952,980,75,1,501,6.8885724595653635,6.218600119691729,0.07653061224489796,0.6931471805599453
grpc,3,139,21,0.9174042711938056,0.8666666666666667,0,-0.8428571428571429,0.8398444888862241,0.6885245901639344,387,35,4,160,5.961005339623274,5.081404364984463,0.09043927648578812,1.6094379124341003
guava,11,12,35,0.5139823600573742,0.23333333333333334,0,1.7692307692307692,0.7621185979271853,0.4426229508196721,114,8,1,48,4.74493212836325,3.8918202981106265,0.07017543859649122,0.6931471805599453
homebrew-cask,8,24,15,0.6626659192886647,0.36666666666666664,0,-0.36,0.7117241539072521,0.360655737704918,3456,21,5,40,8.148156439921625,3.713572066704308,0.006076388888888889,1.791759469228055
html5-boilerplate,13,21,18,0.751943345853623,0.4666666666666667,0,-0.13636363636363635,0.7409283209082461,0.3934426229508196,18,14,2,42,2.9444389791664403,3.7612001156935624,0.7777777777777778,1.0986122886681098
imgui,11,6,7,0.45887087219815853,0.16666666666666666,0,0.14285714285714285,0.5363301063864917,0.1639344262295081,230,3,1,13,5.442417710521793,2.6390573296152584,0.013043478260869565,0.6931471805599453
