repo,n_established_doc_contributors,doc_contributor_loss_rate_all,n_top_established,doc_contributor_loss_rate_top,entropy_norm,active_window_rate,unique_contributors_for_metrics,health_docs_touch_contributors,health_docs_touch_bus50,health_file_commits,log_contributors,log_doc_commits,participation_rate,log_bus50,h1_bus50,h1_n_doc_contributors,h1_doc_commits,log_h1_bus50,log_h1_commits
ionic-framework,9,0.3333333333333333,3,0.3333333333333333,0.9131888088310316,0.8852459016393442,97,14,2,340,4.584967478670572,5.831882477283517,0.1443298969072164,1.0986122886681098,1,9,96,0.6931471805599453,4.574710978503383
java-design-patterns,22,0.9545454545454546,22,0.9545454545454546,0.6872714835628879,0.3442622950819672,122,25,5,462,4.812184355372417,6.137727054086234,0.2049180327868852,1.791759469228055,7,22,31,2.0794415416798357,3.4657359027997265
jekyll,12,0.5,3,0.0,0.889046367043461,0.8852459016393442,126,13,1,388,4.844187086458591,5.963579343618446,0.1031746031746031,0.6931471805599453,1,12,252,0.6931471805599453,5.53338948872752
jenkins,13,0.6153846153846154,5,0.2,0.8082319631819973,0.5245901639344263,173,19,3,59,5.159055299214529,4.0943445622221,0.1098265895953757,1.3862943611198906,4,13,32,1.6094379124341003,3.4965075614664802
jquery,3,0.6666666666666666,1,,0.6838982637738295,0.3114754098360656,20,4,2,26,3.044522437723423,3.295836866004329,0.2,1.0986122886681098,1,3,10,0.6931471805599453,2.3978952727983707
juice-shop,9,0.6666666666666666,3,0.0,0.8902799552794232,0.819672131147541,58,9,1,140,4.07753744390572,4.948759890378168,0.1551724137931034,0.6931471805599453,1,9,84,0.6931471805599453,4.442651256490317
kafka,13,0.8461538461538461,4,0.5,0.7821890710999863,0.4918032786885246,561,34,5,69,6.331501849893691,4.248495242049359,0.0606060606060606,1.791759469228055,2,13,29,1.0986122886681098,3.4011973816621555
kubernetes,12,0.9166666666666666,12,0.9166666666666666,0.6703075505865258,0.2786885245901639,2019,19,9,21,7.61085279039525,3.091042453358316,0.0094105993065874,2.302585092994046,6,12,13,1.9459101490553132,2.6390573296152584
laravel,13,0.7692307692307693,4,0.25,0.950281470791576,0.9672131147540984,142,17,2,184,4.962844630259907,5.220355825078324,0.1197183098591549,1.0986122886681098,1,13,104,0.6931471805599453,4.653960350157523
material-ui,43,0.7441860465116279,13,0.1538461538461538,0.9779650964968668,1.0,790,66,3,586,6.673297967767654,6.375024819828097,0.0835443037974683,1.3862943611198906,2,43,295,1.0986122886681098,5.69035945432406
metasploit-framework,28,0.7857142857142857,9,0.3333333333333333,0.668810014030381,0.4098360655737705,318,17,4,79,5.765191102784844,4.382026634673881,0.0534591194968553,1.6094379124341005,7,28,48,2.0794415416798357,3.8918202981106265
minimal-mistakes,8,0.625,2,,0.7105378481524905,0.4754098360655737,55,10,2,204,4.02535169073515,5.3230099791384085,0.1818181818181818,1.0986122886681098,1,8,121,0.6931471805599453,4.804021044733257
moby,10,0.7,3,0.0,0.8275082829345493,0.5573770491803278,303,19,2,66,5.717027701406222,4.204692619390966,0.0627062706270627,1.0986122886681098,2,10,20,1.0986122886681098,3.044522437723423
mybatis-3,4,0.5,1,,0.5479925707408786,0.180327868852459,88,5,1,16,4.48863636973214,2.833213344056216,0.0568181818181818,0.6931471805599453,1,4,7,0.6931471805599453,2.0794415416798357
netty,11,0.9090909090909092,5,0.8,0.6418406051147727,0.2950819672131147,220,13,2,38,5.3981627015177525,3.6635616461296463,0.059090909090909,1.0986122886681098,1,11,31,0.6931471805599453,3.4657359027997265
nixpkgs,31,0.8064516129032258,16,0.625,0.8296127940201382,0.7049180327868853,8008,78,14,165,8.988321188323683,5.111987788356544,0.0097402597402597,2.70805020110221,9,31,52,2.302585092994046,3.970291913552122
node,112,0.7589285714285714,38,0.4210526315789473,0.962780697231144,1.0,991,177,6,988,6.899723107284872,6.8966943316227125,0.1786074672048435,1.9459101490553132,4,112,496,1.6094379124341003,6.208590026096629
numpy,27,0.925925925925926,8,0.75,0.6783294223103542,0.3770491803278688,773,35,8,55,6.651571873589727,4.02535169073515,0.0452781371280724,2.1972245773362196,6,27,44,1.9459101490553132,3.8066624897703196
odoo,7,0.8571428571428571,2,,0.6137894365825559,0.2131147540983606,1496,11,4,15,7.311218384419629,2.772588722239781,0.0073529411764705,1.6094379124341005,2,7,10,1.0986122886681098,2.3978952727983707
ohmyzsh,15,0.8,5,0.4,0.7702421959925077,0.4590163934426229,597,26,5,55,6.393590753950631,4.02535169073515,0.0435510887772194,1.791759469228055,3,15,28,1.3862943611198906,3.367295829986474
opencv,7,0.7142857142857143,2,,0.5701787646017642,0.1967213114754098,578,10,3,17,6.361302477572996,2.8903717578961645,0.0173010380622837,1.3862943611198906,2,7,10,1.0986122886681098,2.3978952727983707
openssl,11,0.8181818181818182,3,0.3333333333333333,0.7836509650303464,0.4590163934426229,689,29,6,51,6.536691597591305,3.951243718581427,0.0420899854862119,1.9459101490553132,2,11,23,1.0986122886681098,3.1780538303479458
pandas,26,1.0,26,1.0,0.8051040409332259,0.4918032786885246,834,35,13,45,6.727431724850855,3.828641396489095,0.0419664268585131,2.6390573296152584,10,26,31,2.3978952727983707,3.4657359027997265
pdf.js,5,0.6,2,,0.7260913124448205,0.360655737704918,98,10,2,29,4.59511985013459,3.4011973816621555,0.1020408163265306,1.0986122886681098,1,5,13,0.6931471805599453,2.6390573296152584
protobuf,16,0.9375,4,0.75,0.6870475799638535,0.3114754098360656,551,19,4,37,6.313548046277095,3.6375861597263857,0.0344827586206896,1.6094379124341005,3,16,26,1.3862943611198906,3.295836866004329
qmk_firmware,5,0.6,2,,0.7600122078091428,0.3934426229508196,1109,7,1,43,7.01211529430638,3.784189633918261,0.0063119927862939,0.6931471805599453,2,5,18,1.0986122886681098,2.9444389791664403
rails,23,1.0,23,1.0,0.7079516285291358,0.360655737704918,1480,24,11,52,7.300472814267799,3.970291913552122,0.0162162162162162,2.4849066497880004,10,23,43,2.3978952727983707,3.784189633918261
