repo,year,entropy_norm,active_month_rate,health_file_commits,valid,archetype
framework,9,0.946782,1.0,113,True,Consistent
framework,10,0.930546,0.923077,100,True,Consistent
guava,1,0.629689,0.538462,15,True,Occasional
guava,2,0.849729,0.769231,27,True,Consistent
guava,3,0.518397,0.307692,6,True,Sparse
guava,4,0.771635,0.615385,12,True,Occasional
guava,5,0.472917,0.307692,8,True,Sparse
guava,6,0.219238,0.153846,4,True,Sparse
guava,7,0.428317,0.230769,3,True,Sparse
guava,8,0.821135,0.769231,18,True,Consistent
guava,9,0.768117,0.615385,14,True,Occasional
guava,10,0.736529,0.538462,9,True,Occasional
flink,1,0.771635,0.615385,12,True,Occasional
flink,2,0.735569,0.538462,10,True,Occasional
flink,3,0.608476,0.384615,6,True,Sparse
flink,4,0.833675,0.692308,12,True,Consistent
flink,5,0.519378,0.307692,5,True,Sparse
flink,6,0.653809,0.461538,9,True,Occasional
flink,7,0.743155,0.538462,8,True,Occasional
flink,8,0.519378,0.307692,5,True,Sparse
flink,9,0.608476,0.384615,6,True,Sparse
flink,10,0.540476,0.307692,4,True,Sparse
minimal-mistakes,1,0.940229,1.0,95,True,Consistent
minimal-mistakes,2,0.885042,0.923077,213,True,Consistent
minimal-mistakes,3,0.919408,1.0,142,True,Consistent
minimal-mistakes,4,0.844624,0.846154,96,True,Consistent
minimal-mistakes,5,0.857139,0.846154,84,True,Consistent
minimal-mistakes,6,0.647186,0.461538,44,True,Occasional
minimal-mistakes,8,0.262933,0.153846,57,True,Sparse
minimal-mistakes,9,0.753769,0.692308,25,True,Occasional
minimal-mistakes,10,0.571905,0.461538,17,True,Sparse
redis,1,0.0,0.076923,4,True,Sparse
redis,3,0.736529,0.538462,9,True,Occasional
redis,4,0.428317,0.230769,3,True,Sparse
redis,5,0.759715,0.615385,16,True,Occasional
redis,6,0.582536,0.384615,8,True,Sparse
redis,7,0.405357,0.230769,4,True,Sparse
redis,8,0.758654,0.538462,7,True,Occasional
redis,9,0.522834,0.538462,34,True,Sparse
redis,10,0.719788,0.538462,11,True,Occasional
ardupilot,1,0.600521,0.461538,11,True,Sparse
ardupilot,2,0.719788,0.538462,11,True,Occasional
ardupilot,3,0.492663,0.307692,11,True,Sparse
ardupilot,4,0.57509,0.384615,7,True,Sparse
ardupilot,5,0.653809,0.461538,9,True,Occasional
ardupilot,6,0.859899,0.769231,14,True,Consistent
ardupilot,8,0.428317,0.230769,3,True,Sparse
ardupilot,10,0.481206,0.384615,12,True,Sparse
material-ui,1,0.800285,0.692308,30,True,Consistent
material-ui,2,0.935711,0.923077,270,True,Consistent
material-ui,3,0.952169,0.923077,230,True,Consistent
material-ui,4,0.940881,0.923077,135,True,Consistent
material-ui,5,0.942373,1.0,115,True,Consistent
material-ui,6,0.95268,1.0,129,True,Consistent
material-ui,7,0.965206,1.0,110,True,Consistent
material-ui,8,0.944434,0.923077,133,True,Consistent
material-ui,9,0.931439,0.923077,110,True,Consistent
material-ui,10,0.891453,0.846154,55,True,Consistent
mybatis-3,3,0.540476,0.307692,4,True,Sparse
mybatis-3,7,0.405357,0.230769,8,True,Sparse
mybatis-3,9,0.428317,0.230769,3,True,Sparse
ionic-framework,1,0.885774,0.846154,116,True,Consistent
ionic-framework,2,0.691809,0.615385,26,True,Occasional
ionic-framework,3,0.9136,0.846154,76,True,Consistent
ionic-framework,4,0.879524,0.923077,64,True,Consistent
ionic-framework,5,0.914028,0.923077,43,True,Consistent
ionic-framework,6,0.953247,0.923077,67,True,Consistent
ionic-framework,7,0.884174,0.923077,100,True,Consistent
ionic-framework,8,0.959913,1.0,93,True,Consistent
