project_name,repo,since,until,dominant_threshold,bots_included_in_attr,merges_included,total_commits_in_range,health_docs_touch_commits,health_docs_touch_contributors,health_docs_touch_top1_share,health_docs_touch_top3_share,health_docs_touch_top5_share,health_docs_touch_top10_share,health_docs_touch_bus50,health_docs_touch_bus80,health_docs_only_commits,health_docs_only_contributors,health_docs_only_top1_share,health_docs_only_top3_share,health_docs_only_top5_share,health_docs_only_top10_share,health_docs_only_bus50,health_docs_only_bus80,health_docs_dominant_commits,health_docs_dominant_contributors,health_docs_dominant_top1_share,health_docs_dominant_top3_share,health_docs_dominant_top5_share,health_docs_dominant_top10_share,health_docs_dominant_bus50,health_docs_dominant_bus80,health_docs_non_dominant_commits,health_docs_non_dominant_contributors,health_docs_non_dominant_top1_share,health_docs_non_dominant_top3_share,health_docs_non_dominant_top5_share,health_docs_non_dominant_top10_share,health_docs_non_dominant_bus50,health_docs_non_dominant_bus80,health_docs_partition_check,health_docs_partition_touch,health_docs_partition_sum_parts
AspNetCore.Docs,AspNetCore.Docs,2020-06-30,2025-06-29,0.500,no,no,7416,23,14,0.217391,0.478261,0.608696,0.826087,4,10,21,13,0.238095,0.523810,0.619048,0.857143,3,9,0,0,,,,,,,2,2,0.500000,1.000000,1.000000,1.000000,1,2,True,23,23
django,django,2020-06-30,2025-06-29,0.500,no,no,5138,171,162,0.023392,0.046784,0.070175,0.111111,77,128,169,161,0.023669,0.047337,0.071006,0.106509,77,128,2,2,0.500000,1.000000,1.000000,1.000000,1,2,0,0,,,,,,,True,171,171
shadowsocks-windows,shadowsocks-windows,2020-06-30,2025-06-29,0.500,no,no,78,3,2,0.666667,1.000000,1.000000,1.000000,1,2,1,1,1.000000,1.000000,1.000000,1.000000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,3,3
react,react,2020-06-30,2025-06-29,0.500,no,no,7215,66,40,0.136364,0.348485,0.454545,0.545455,7,27,63,39,0.142857,0.349206,0.444444,0.539683,8,27,2,2,0.500000,1.000000,1.000000,1.000000,1,2,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,66,66
axios,axios,2020-06-30,2025-06-29,0.500,no,no,716,225,82,0.356688,0.471338,0.503185,0.541401,5,51,144,73,0.285714,0.378151,0.420168,0.470588,14,50,15,7,0.533333,0.733333,0.866667,1.000000,1,4,66,6,0.608696,0.869565,0.956522,1.000000,1,2,True,225,225
elasticsearch,elasticsearch,2020-06-30,2025-06-29,0.500,no,no,34793,89,47,0.123596,0.292135,0.404494,0.561798,8,30,71,45,0.098592,0.239437,0.323944,0.492958,11,31,10,5,0.300000,0.800000,1.000000,1.000000,2,3,8,3,0.500000,1.000000,1.000000,1.000000,1,2,True,89,89
protobuf,protobuf,2020-06-30,2025-06-29,0.500,no,no,11034,37,19,0.312500,0.437500,0.562500,0.718750,4,13,22,13,0.176471,0.411765,0.529412,0.823529,5,10,0,0,,,,,,,15,9,0.466667,0.600000,0.733333,1.000000,2,6,True,37,37
zxing,zxing,2020-06-30,2025-06-29,0.500,no,no,283,18,8,0.444444,0.722222,0.833333,1.000000,2,5,16,8,0.375000,0.687500,0.812500,1.000000,2,5,2,1,1.000000,1.000000,1.000000,1.000000,1,1,0,0,,,,,,,True,18,18
godot,godot,2020-06-30,2025-06-29,0.500,no,no,24079,81,22,0.567901,0.728395,0.777778,0.851852,1,6,42,20,0.261905,0.547619,0.642857,0.761905,3,12,14,5,0.714286,0.857143,1.000000,1.000000,1,3,25,1,1.000000,1.000000,1.000000,1.000000,1,1,True,81,81
spark,spark,2020-06-30,2025-06-29,0.500,no,no,17199,37,14,0.378378,0.594595,0.729730,0.891892,3,7,21,9,0.333333,0.619048,0.809524,1.000000,3,5,2,2,0.500000,1.000000,1.000000,1.000000,1,2,14,6,0.428571,0.785714,0.928571,1.000000,2,4,True,37,37
laravel,laravel,2020-06-30,2025-06-29,0.500,no,no,747,181,17,0.392265,0.872928,0.928177,0.961326,2,3,178,17,0.398876,0.876404,0.932584,0.960674,2,3,3,2,0.666667,1.000000,1.000000,1.000000,1,2,0,0,,,,,,,True,181,181
gitignore,gitignore,2020-06-30,2025-06-29,0.500,no,no,431,9,8,0.222222,0.444444,0.666667,1.000000,4,7,8,7,0.250000,0.500000,0.750000,1.000000,3,6,1,1,1.000000,1.000000,1.000000,1.000000,1,1,0,0,,,,,,,True,9,9
pandas,pandas,2020-06-30,2025-06-29,0.500,no,no,12707,45,35,0.066667,0.200000,0.288889,0.444444,13,26,38,32,0.078947,0.210526,0.289474,0.421053,13,25,4,3,0.500000,1.000000,1.000000,1.000000,1,3,3,3,0.333333,1.000000,1.000000,1.000000,2,3,True,45,45
AdminLTE,AdminLTE,2020-06-30,2025-06-29,0.500,no,no,1150,30,8,0.466667,0.833333,0.900000,1.000000,2,3,21,7,0.523810,0.809524,0.904762,1.000000,1,3,5,3,0.600000,1.000000,1.000000,1.000000,1,2,4,2,0.500000,1.000000,1.000000,1.000000,1,2,True,30,30
react-router,react-router,2020-06-30,2025-06-29,0.500,no,no,4785,745,395,0.223776,0.262238,0.283217,0.312937,109,281,637,349,0.205761,0.240741,0.263374,0.288066,106,252,73,42,0.333333,0.393939,0.439394,0.515152,9,29,35,13,0.300000,0.500000,0.600000,0.850000,3,9,True,745,745
ant-design,ant-design,2020-06-30,2025-06-29,0.500,no,no,9850,566,55,0.233628,0.453097,0.594690,0.826549,4,9,223,42,0.273543,0.524664,0.650224,0.793722,3,11,321,25,0.203125,0.512500,0.696875,0.918750,3,7,22,12,0.272727,0.545455,0.681818,0.909091,3,8,True,566,566
rails,rails,2020-06-30,2025-06-29,0.500,no,no,10880,27,24,0.111111,0.222222,0.296296,0.481481,11,19,23,20,0.130435,0.260870,0.347826,0.565217,9,16,2,2,0.500000,1.000000,1.000000,1.000000,1,2,2,2,0.500000,1.000000,1.000000,1.000000,1,2,True,27,27
spring-boot,spring-boot,2020-06-30,2025-06-29,0.500,no,no,17264,55,27,0.145455,0.400000,0.545455,0.690909,5,16,42,26,0.119048,0.309524,0.452381,0.619048,6,18,7,6,0.285714,0.571429,0.857143,1.000000,3,5,6,3,0.666667,1.000000,1.000000,1.000000,1,2,True,55,55
