project_name,repo,granularity,window_count,health_file_commits,mu,sigma,cv,phi_c,active_window_rate,label
ohmyzsh,ohmyzsh,month,61,55,0.9016393442622951,1.2871793197114751,1.427598881861818,0.0,0.45901639344262296,unstable
kafka,kafka,month,61,69,1.1311475409836065,1.5649857276885475,1.3835381070869768,0.0,0.4918032786885246,unstable
d3,d3,month,61,13,0.21311475409836064,0.5200882648923051,2.440414166033124,0.0,0.16393442622950818,unstable
azure-quickstart-templates,azure-quickstart-templates,month,61,5,0.08196721311475409,0.27659127289275987,3.3744135292916706,0.0,0.08196721311475409,unstable
moby,moby,month,61,66,1.0819672131147542,1.2287538669618787,1.1356664527981,0.0,0.5573770491803278,unstable
etcd,etcd,month,61,105,1.721311475409836,1.7333123159717794,1.006971916897891,0.0,0.6885245901639344,unstable
homebrew-cask,homebrew-cask,month,61,40,0.6557377049180327,1.1384967559848285,1.7362075528768635,0.0,0.36065573770491804,unstable
html5-boilerplate,html5-boilerplate,month,61,42,0.6885245901639344,1.0730172972597316,1.5584298841153246,0.0,0.39344262295081966,unstable
youtube-dl,youtube-dl,month,61,104,1.7049180327868851,4.561959601951344,2.6757647665291535,0.0,0.2786885245901639,unstable
java-design-patterns,java-design-patterns,month,61,462,7.573770491803279,16.53426645524726,2.1830957873811316,0.0,0.8032786885245902,unstable
symfony,symfony,month,61,173,2.8360655737704916,2.79392393041789,0.9851408078352097,0.0,0.9836065573770492,unstable
dubbo,dubbo,month,61,51,0.8360655737704918,1.199726744844459,1.4349672830492548,0.0,0.47540983606557374,unstable
jenkins,jenkins,month,61,59,0.9672131147540983,1.1967624815135498,1.2373307012258736,0.0,0.5245901639344263,unstable
node,node,month,61,988,16.19672131147541,8.870963254970581,0.5477011726247019,0.0,1.0,unstable
kubernetes,kubernetes,month,61,21,0.3442622950819672,0.6294242316498294,1.828327530030457,0.0,0.2786885245901639,unstable
qmk_firmware,qmk_firmware,month,61,43,0.7049180327868853,0.9547122130967349,1.3543591860209496,0.0,0.39344262295081966,unstable
darknet,darknet,month,61,15,0.2459016393442623,0.7885796874744289,3.2068907290626774,0.0,0.14754098360655737,unstable
HanLP,HanLP,month,61,44,0.7213114754098361,1.4157583073037057,1.9627558351255918,0.0,0.4262295081967213,unstable
electron,electron,month,61,44,0.7213114754098361,0.7985642854728647,1.1071004866782896,0.0,0.5409836065573771,unstable
openssl,openssl,month,61,51,0.8360655737704918,1.0981852889935053,1.3135157378157611,0.0,0.45901639344262296,unstable
data,data,month,61,4,0.06557377049180328,0.40285863769716185,6.143594224881718,0.0,0.03278688524590164,sparse
echarts,echarts,month,61,30,0.4918032786885246,1.0427999299909216,2.1203598576482072,0.0,0.2786885245901639,unstable
reveal.js,reveal.js,month,61,24,0.39344262295081966,0.953566787113697,2.4236489172473132,0.0,0.22950819672131148,unstable
AspNetCore.Docs,AspNetCore.Docs,month,61,25,0.4098360655737705,0.6922679919493574,1.689133900356432,0.0,0.3114754098360656,unstable
django,django,month,61,172,2.819672131147541,2.148706562262605,0.7620412808024355,0.0,0.8524590163934426,unstable
shadowsocks-windows,shadowsocks-windows,month,61,4,0.06557377049180328,0.30923844408570295,4.71588627230697,0.0,0.04918032786885246,sparse
react,react,month,61,67,1.098360655737705,1.5885519405293496,1.4462935577953777,0.0,0.47540983606557374,unstable
axios,axios,month,61,226,3.7049180327868854,4.160706119138441,1.1230224480860393,0.0,0.7704918032786885,unstable
elasticsearch,elasticsearch,month,61,89,1.459016393442623,1.2724486956494983,0.8721277576923527,0.0,0.7213114754098361,unstable
protobuf,protobuf,month,61,37,0.6065573770491803,0.9879049975341786,1.6287082391779701,0.0,0.36065573770491804,unstable
godot,godot,month,61,81,1.3278688524590163,1.375031047836252,1.035517208864338,0.0,0.7213114754098361,unstable
spark,spark,month,61,37,0.6065573770491803,1.0532281887066728,1.73640323002992,0.0,0.3770491803278688,unstable
laravel,laravel,month,61,184,3.0163934426229506,2.061486545179542,0.6834276046519134,0.0,0.9672131147540983,unstable
gitignore,gitignore,month,61,9,0.14754098360655737,0.4014999200402781,2.721277235828552,0.0,0.13114754098360656,unstable
pandas,pandas,month,61,45,0.7377049180327869,0.8925924666248365,1.2099586769803339,0.0,0.4918032786885246,unstable
AdminLTE,AdminLTE,month,61,30,0.4918032786885246,1.1346504721671211,2.307122626739813,0.0,0.26229508196721313,unstable
react-router,react-router,month,61,747,12.245901639344263,10.83767462405246,0.8850042196348059,0.0,0.8360655737704918,unstable
ant-design,ant-design,month,61,568,9.311475409836065,5.123608700927363,0.5502467090784668,0.0,1.0,unstable
rails,rails,month,61,52,0.8524590163934426,1.4356887496224067,1.684173340903208,0.0,0.3770491803278688,unstable
spring-boot,spring-boot,month,61,59,0.9672131147540983,1.6121126213218282,1.6667605067903648,0.0,0.4098360655737705,unstable
