project_name,repo,granularity,window_count,Rhythm -health_file_commits,mu,sigma,cv,phi_c,active_window_rate,label,commits_in_window,commits_per_year,commit_cv,cv_type,stable,phi_c,total_commits_all,commits_counted_for_metrics,unique_contributors_for_metrics,gini,top3_share,top5_share,top10_share
metasploit-framework,metasploit-framework,month,61,79,1.295081967,3.04600428,2.351977989,0,0.409836066,unstable,18344,3668.8,0.219,Monthly,TRUE,0.88,14692,12989,318,0.860376535,0.287474016,0.394487643,0.546616368
minimal-mistakes,minimal-mistakes,month,61,204,3.344262295,6.244691735,1.867285274,0,0.475409836,unstable,411,82.2,1.692,Monthly,FALSE,0,389,330,55,0.796584022,0.812121212,0.833333333,0.863636364
moby,moby,month,61,66,1.081967213,1.228753867,1.135666453,0,0.557377049,unstable,11116,2223.2,0.562,Monthly,FALSE,0,7489,7289,303,0.935488939,0.725613939,0.81122239,0.881602415
mybatis-3,mybatis-3,month,61,16,0.262295082,0.680726067,2.59526813,0,0.180327869,unstable,2232,446.4,0.712,Monthly,FALSE,0,1340,814,88,0.837419031,0.749385749,0.793611794,0.845208845
netty,netty,month,61,38,0.62295082,1.331214163,2.136949051,0,0.295081967,unstable,3713,742.6,0.622,Monthly,FALSE,0,3682,3147,220,0.89787821,0.761360025,0.789958691,0.836987607
nixpkgs,nixpkgs,month,61,165,2.704918033,4.055219938,1.499202522,0,0.704918033,unstable,590247,118049.4,0.346,Monthly,TRUE,0.62,367953,259289,8008,0.89495784,0.198485088,0.224926626,0.284481794
node,node,month,61,988,16.19672131,8.870963255,0.547701173,0,1,unstable,13536,2707.2,0.192,Monthly,TRUE,0.77,13555,11599,991,0.857482147,0.230192258,0.315716872,0.461074231
numpy,numpy,month,61,55,0.901639344,1.823046151,2.021923913,0,0.37704918,unstable,15701,3140.2,0.251,Monthly,TRUE,0.99,11158,9604,773,0.854528595,0.219491878,0.326114119,0.498334027
odoo,odoo,month,61,15,0.245901639,0.505164584,2.054335975,0,0.213114754,unstable,43757,8751.4,0.464,Monthly,TRUE,0.14,47931,47876,1496,0.800709626,0.058818615,0.088123486,0.143203275
ohmyzsh,ohmyzsh,month,61,55,0.901639344,1.28717932,1.427598882,0,0.459016393,unstable,1826,365.2,0.637,Monthly,FALSE,0,1823,1466,597,0.583897203,0.450204638,0.519781719,0.545702592
opencv,opencv,month,61,17,0.278688525,0.686322265,2.462685774,0,0.196721311,unstable,6491,1298.2,0.355,Monthly,TRUE,0.58,3911,3421,578,0.761038831,0.269511839,0.328851213,0.436714411
openssl,openssl,month,61,51,0.836065574,1.098185289,1.313515738,0,0.459016393,unstable,11021,2204.2,0.426,Monthly,TRUE,0.29,11026,10855,689,0.888816361,0.306863197,0.469829572,0.687333026
pandas,pandas,month,61,45,0.737704918,0.892592467,1.209958677,0,0.491803279,unstable,12696,2539.2,0.43,Monthly,TRUE,0.28,12707,7257,834,0.856565678,0.512057324,0.598594461,0.694088466
pdf.js,pdf.js,month,61,29,0.475409836,0.76608436,1.611418825,0,0.360655738,unstable,8350,1670,0.247,Monthly,TRUE,0.99,4691,4618,98,0.953571208,0.93871806,0.955175401,0.972498917
PHPMailer,PHPMailer,month,61,115,1.885245902,2.510633125,1.331727136,0,0.573770492,unstable,903,180.6,1.624,Monthly,FALSE,0,729,435,65,0.811246684,0.781609195,0.8,0.83908046
protobuf,protobuf,month,61,37,0.606557377,0.987904998,1.628708239,0,0.360655738,unstable,12179,2435.8,0.447,Monthly,TRUE,0.21,11034,6517,551,0.873890345,0.350314562,0.464630965,0.669479822
Python,Python,month,61,42,0.68852459,2.692836074,3.911023821,0,0.229508197,unstable,3159,631.8,1.667,Monthly,FALSE,0,1767,604,171,0.590798188,0.245033113,0.336092715,0.455298013
qmk_firmware,qmk_firmware,month,61,43,0.704918033,0.954712213,1.354359186,0,0.393442623,unstable,15958,3191.6,0.513,Monthly,FALSE,0,10609,6295,1109,0.778743632,0.403018268,0.499602859,0.569976172
rails,rails,month,61,52,0.852459016,1.43568875,1.684173341,0,0.37704918,unstable,18008,3601.6,0.311,Monthly,TRUE,0.76,10690,10217,1480,0.804223419,0.2067143,0.277478712,0.419007536
react,react,month,61,67,1.098360656,1.588551941,1.446293558,0,0.475409836,unstable,7206,1441.2,0.522,Monthly,FALSE,0,7207,5904,323,0.900449504,0.397188347,0.52100271,0.716971545
react-native,react-native,month,61,221,3.62295082,3.302342272,0.911506238,0,0.885245902,unstable,17059,3411.8,0.419,Monthly,TRUE,0.32,17069,16704,1233,0.862626257,0.127454502,0.200730364,0.331238027
react-router,react-router,month,61,747,12.24590164,10.83767462,0.88500422,0,0.836065574,unstable,5177,1035.4,0.623,Monthly,FALSE,0,4786,3893,380,0.879434748,0.470588235,0.586950938,0.814795787
redis,redis,month,61,68,1.114754098,2.702457898,2.424263702,0,0.459016393,unstable,3217,643.4,0.487,Monthly,TRUE,0.05,3175,2770,335,0.808121127,0.312635379,0.410108303,0.550541516
reveal.js,reveal.js,month,61,24,0.393442623,0.953566787,2.423648917,0,0.229508197,unstable,494,98.8,1.214,Monthly,FALSE,0,411,402,50,0.824278607,0.78358209,0.81840796,0.870646766
Rocket.Chat,Rocket.Chat,month,61,390,6.3934426,6.135358,0.959632983,0,0.721311475,unstable,9286,1857.2,0.337,Monthly,TRUE,0.65,8732,6131,169,0.873212956,0.37171501,0.506768879,0.689120861
rust,rust,month,61,1772,29.04918033,14.13792327,0.486689232,0.053243072,1,stable,152020,30404,0.131,Monthly,TRUE,0.52,100158,89714,3638,0.876807367,0.12857525,0.181231469,0.266825691
scrapy,scrapy,month,61,51,0.836065574,1.551132144,1.855275702,0,0.409836066,unstable,2443,488.6,0.597,Monthly,FALSE,0,1911,1617,165,0.837285658,0.643166357,0.70995671,0.769944341
shadowsocks-android,shadowsocks-android,month,61,9,0.147540984,0.441061809,2.989418926,0,0.114754098,unstable,257,51.4,1.578,Monthly,FALSE,0,251,237,8,0.702004219,0.915611814,0.983122363,1
shadowsocks-windows,shadowsocks-windows,month,61,4,0.06557377,0.309238444,4.715886272,0,0.049180328,sparse,83,16.6,3.195,Monthly,FALSE,0,78,78,10,0.679487179,0.871794872,0.935897436,1
socket.io,socket.io,month,61,349,5.721311475,7.071376923,1.235971325,0,0.721311475,unstable,1238,247.6,1.026,Monthly,FALSE,0,1243,1148,104,0.89597293,0.890243902,0.897212544,0.906794425
spark,spark,month,61,37,0.606557377,1.053228189,1.73640323,0,0.37704918,unstable,17193,3438.6,0.215,Monthly,TRUE,0.86,17199,16946,1033,0.861641597,0.201286439,0.275994335,0.41472914
spring-boot,spring-boot,month,61,59,0.967213115,1.612112621,1.666760507,0,0.409836066,unstable,28089,5617.8,0.235,Monthly,TRUE,0.94,17254,17007,575,0.947724952,0.555241959,0.701299465,0.846768977
spring-framework,spring-framework,month,61,35,0.573770492,0.956713409,1.667414798,0,0.327868852,unstable,12067,2413.4,0.378,Monthly,TRUE,0.49,9878,8604,556,0.908663446,0.35088331,0.49744305,0.738028824
symfony,symfony,month,61,173,2.836065574,2.79392393,0.985140808,0,0.983606557,unstable,24948,4989.6,0.312,Monthly,TRUE,0.75,11504,11144,1599,0.821546534,0.366564968,0.450915291,0.547918162
terraform,terraform,month,61,562,9.213114754,7.810494551,0.847758305,0,0.918032787,unstable,8089,1617.8,0.411,Monthly,TRUE,0.36,6466,4583,377,0.875770275,0.566441196,0.655247654,0.748199869
three.js,three.js,month,61,64,1.049180328,1.419227836,1.352701531,0,0.475409836,unstable,11636,2327.2,0.598,Monthly,FALSE,0,10614,9147,599,0.898339184,0.534273532,0.631245217,0.736088335
todomvc,todomvc,month,61,3,0.049180328,0.284384101,5.782476722,0,0.032786885,sparse,45,9,3.056,Monthly,FALSE,0,45,42,8,0.702380952,0.880952381,0.928571429,1
TypeScript,TypeScript,month,61,40,0.655737705,0.892286312,1.360736626,0,0.442622951,unstable,5898,1179.6,0.426,Monthly,TRUE,0.3,5549,2938,260,0.858841703,0.411844792,0.588495575,0.743703199
Vue-core,Vue-core,month,61,320,5.245901639,5.035393853,0.959871953,0,0.885245902,unstable,4465,893,0.713,Monthly,FALSE,0,4448,3319,308,0.877827581,0.680325399,0.739078036,0.801144923
WordPress,WordPress,month,61,31,0.508196721,0.721640511,1.420002296,0,0.409836066,unstable,9355,1871,0.454,Monthly,TRUE,0.18,9364,9364,61,0.775526782,0.541008116,0.627296027,0.759504485
youtube-dl,youtube-dl,month,61,104,1.704918033,4.561959602,2.675764767,0,0.278688525,unstable,1216,243.2,1.775,Monthly,FALSE,0,1215,1150,100,0.881513043,0.867826087,0.889565217,0.912173913
zxing,zxing,month,61,18,0.29508196,0.66693983,2.260184995,0,0.213114,unstable,283,56.6,0.964,Monthly,FALSE,0,283,174,25,0.783448275,0.804597701,0.844827586,0.908045977
